partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",14,14,14,14,14
"JUSTICIALISTA (2)",140,137,221,134,142
"UNIÓN CÍVICA RADICAL (3)",774,765,760,789,778
"MOVIMIENTO SIEMPRE CORRIENTES (4)",47,47,47,46,47
"DEMÓCRATA CRISTIANO (5)",22,22,22,23,23
"DE LA CONCERTACIÓN - FORJA (7)",14,14,14,14,20
"FEDERAL (8)",6,6,-,6,5
"DEMÓCRATA PROGRESISTA (9)",32,32,32,31,31
"RENOVADOR FEDERAL (10)",7,8,7,6,7
"LADRILLEROS UNIDOS (11)",55,55,55,58,56
"COMUNISTA (12)",4,4,-,4,4
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",7,7,7,7,7
"ACCIÓN POR CORRIENTES (14)",27,26,27,23,23
"UNIDOS POR CORRIENTES (15)",36,36,36,37,37
"LABORISTA AUTÓNOMO (17)",37,36,36,38,38
"ELI - ENCUENTRO LIBERAL (18)",16,16,16,18,17
"CAMBIO POPULAR (19)",0,0,0,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",5,5,-,0,0
"CONVOCATORIA POPULAR (21)",0,0,-,0,0
"FE (23)",6,6,6,6,7
"NUESTRA CAUSA (24)",10,10,10,10,10
"UNION POPULAR (25)",25,25,26,25,24
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",12,12,12,11,11
"ENCUENTRO CORRELIGIONARIO (27)",26,26,26,26,26
"CAMBIO AUSTERIDAD Y PROGRESO (28)",4,4,4,4,4
"DEL TRABAJO Y DEL PUEBLO (29)",14,14,14,15,16
"CIUDADANOS A GOBERNAR (30)",11,11,11,12,11
"CONSERVADOR POPULAR (31)",6,6,6,6,6
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",4,4,4,4,3
"NUEVO PAIS (33)",3,3,-,2,4
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",3,3,3,3,3
"TERCERA POSICIÓN (35)",3,3,3,3,3
"UNIÓN CORRENTINA (37)",13,13,13,13,13
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",10,10,10,10,10
"UNIÓN PARA EL DESARROLLO (42)",8,7,7,8,8
"NORTE GRANDE (43)",2,2,2,2,2
"ACCIÓN POR LA REPÚBLICA (44)",27,27,27,30,28
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-,0,0
"VAMOS CORRIENTES (46)",6,6,6,6,6
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",2,2,2,2,2
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-
"SOCIALISTA (50)",4,4,4,4,4
"LIBERAL (51)",27,27,27,26,26
"AUTONOMISTA (52)",42,41,41,44,42
"DE LA VICTORIA (54)",8,8,8,8,8
"PROYECTO CORRIENTES (57)",62,61,-,68,78
"PRO - PROPUESTA REPUBLICANA (64)",14,14,14,13,13
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,4,4,4,5
"NUEVO (90)",12,12,11,11,11
"POPULAR CORRENTINO (169)",12,13,13,13,14
"CRECER CON TODOS (170)",23,19,19,19,19
"UNIÓN CELESTE Y BLANCO (173)",5,5,-,5,5
"COMPROMISO CORRENTINO (175)",6,6,-,6,6
"KOLINA (192)",10,9,9,8,8
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,10,10
"Votos en Blanco",71,91,103,54,45
"Votos Nulos",13,13,13,13,13
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
