partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",7,7,7,7,7
"JUSTICIALISTA (2)",25,25,27,-,-
"UNIÓN CÍVICA RADICAL (3)",338,336,334,343,340
"MOVIMIENTO SIEMPRE CORRIENTES (4)",33,33,33,34,34
"DEMÓCRATA CRISTIANO (5)",2,2,2,-,-
"DE LA CONCERTACIÓN - FORJA (7)",10,10,10,10,10
"FEDERAL (8)",0,0,-,-,-
"DEMÓCRATA PROGRESISTA (9)",31,31,31,32,32
"RENOVADOR FEDERAL (10)",1,0,0,-,-
"LADRILLEROS UNIDOS (11)",31,30,30,29,29
"COMUNISTA (12)",0,0,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",1,1,1,-,-
"ACCIÓN POR CORRIENTES (14)",33,33,33,33,33
"UNIDOS POR CORRIENTES (15)",22,22,22,23,23
"LABORISTA AUTÓNOMO (17)",14,14,14,14,14
"ELI - ENCUENTRO LIBERAL (18)",331,330,330,357,355
"CAMBIO POPULAR (19)",0,0,0,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,-,-
"CONVOCATORIA POPULAR (21)",0,0,-,-,-
"FE (23)",0,0,0,-,-
"NUESTRA CAUSA (24)",1,1,1,-,-
"UNION POPULAR (25)",8,8,8,8,8
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,1,1,-,-
"ENCUENTRO CORRELIGIONARIO (27)",9,9,9,9,9
"CAMBIO AUSTERIDAD Y PROGRESO (28)",0,0,0,0,0
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,-,-
"CIUDADANOS A GOBERNAR (30)",13,13,13,13,14
"CONSERVADOR POPULAR (31)",7,7,7,7,7
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",11,11,11,11,11
"NUEVO PAIS (33)",2,2,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",22,22,22,22,22
"TERCERA POSICIÓN (35)",0,0,0,-,-
"UNIÓN CORRENTINA (37)",10,10,10,17,18
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",12,12,12,-,-
"UNIÓN PARA EL DESARROLLO (42)",2,2,2,2,2
"NORTE GRANDE (43)",5,5,5,-,-
"ACCIÓN POR LA REPÚBLICA (44)",41,41,41,42,41
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",9,9,10,10,10
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",7,6,7,7,7
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-
"SOCIALISTA (50)",1,1,2,2,2
"LIBERAL (51)",4,4,4,4,3
"AUTONOMISTA (52)",8,8,8,8,8
"DE LA VICTORIA (54)",1,1,1,-,-
"PROYECTO CORRIENTES (57)",1,1,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",3,3,3,3,2
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,-,-
"NUEVO (90)",82,82,81,85,92
"POPULAR CORRENTINO (169)",16,16,19,19,16
"CRECER CON TODOS (170)",9,8,8,9,9
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,-,-
"COMPROMISO CORRENTINO (175)",1,1,-,-,-
"KOLINA (192)",0,0,0,-,-
"Votos en Blanco",17,27,26,27,29
"Votos Nulos",12,9,9,8,8
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
