partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",40,39,36,38,37
"JUSTICIALISTA (2)",249,258,363,271,259
"UNIÓN CÍVICA RADICAL (3)",587,557,556,659,555
"MOVIMIENTO SIEMPRE CORRIENTES (4)",39,38,38,38,36
"DEMÓCRATA CRISTIANO (5)",14,16,15,17,16
"DE LA CONCERTACIÓN - FORJA (7)",21,20,20,21,20
"FEDERAL (8)",21,22,-,23,22
"DEMÓCRATA PROGRESISTA (9)",41,40,38,-,-
"RENOVADOR FEDERAL (10)",24,24,24,26,25
"LADRILLEROS UNIDOS (11)",41,40,39,40,37
"COMUNISTA (12)",3,3,-,3,3
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",5,7,8,7,7
"ACCIÓN POR CORRIENTES (14)",37,34,33,35,32
"UNIDOS POR CORRIENTES (15)",26,24,24,23,22
"LABORISTA AUTÓNOMO (17)",18,16,16,-,-
"ELI - ENCUENTRO LIBERAL (18)",230,219,221,227,209
"CAMBIO POPULAR (19)",11,11,11,13,13
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",4,4,-,5,4
"CONVOCATORIA POPULAR (21)",9,10,-,10,10
"FE (23)",3,3,3,3,3
"NUESTRA CAUSA (24)",6,6,5,5,5
"UNION POPULAR (25)",40,39,39,48,48
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",15,16,15,17,17
"ENCUENTRO CORRELIGIONARIO (27)",12,11,11,5,5
"CAMBIO AUSTERIDAD Y PROGRESO (28)",11,8,8,8,8
"DEL TRABAJO Y DEL PUEBLO (29)",5,4,3,3,3
"CIUDADANOS A GOBERNAR (30)",15,15,15,15,14
"CONSERVADOR POPULAR (31)",8,6,6,6,4
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",57,52,51,56,81
"NUEVO PAIS (33)",5,5,-,5,5
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",64,63,63,-,-
"TERCERA POSICIÓN (35)",7,7,7,7,7
"UNIÓN CORRENTINA (37)",11,10,10,10,10
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",13,12,12,12,11
"UNIÓN PARA EL DESARROLLO (42)",8,7,7,7,6
"NORTE GRANDE (43)",16,14,14,14,14
"ACCIÓN POR LA REPÚBLICA (44)",19,18,18,18,10
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",4,4,-,4,4
"VAMOS CORRIENTES (46)",30,30,30,31,29
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",40,38,36,37,31
"PARTIDO AGRARIO Y SOCIAL (49)",6,6,-,6,6
"SOCIALISTA (50)",31,29,28,27,21
"LIBERAL (51)",113,106,100,110,88
"AUTONOMISTA (52)",202,175,183,214,357
"DE LA VICTORIA (54)",12,12,12,12,12
"PROYECTO CORRIENTES (57)",15,17,-,15,14
"PRO - PROPUESTA REPUBLICANA (64)",77,75,74,71,62
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",5,5,5,6,6
"NUEVO (90)",26,22,22,23,29
"POPULAR CORRENTINO (169)",82,81,84,85,78
"CRECER CON TODOS (170)",38,35,37,52,47
"UNIÓN CELESTE Y BLANCO (173)",25,23,-,27,23
"COMPROMISO CORRENTINO (175)",21,21,-,16,15
"KOLINA (192)",16,16,16,17,16
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,13,13
"Votos en Blanco",68,180,197,92,146
"Votos Nulos",24,17,17,17,17
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
