partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",8,8,7,8,10
"JUSTICIALISTA (2)",265,276,322,304,279
"UNIÓN CÍVICA RADICAL (3)",482,452,450,441,420
"MOVIMIENTO SIEMPRE CORRIENTES (4)",232,214,212,224,232
"DEMÓCRATA CRISTIANO (5)",5,5,5,5,5
"DE LA CONCERTACIÓN - FORJA (7)",16,14,14,14,14
"FEDERAL (8)",13,13,-,13,13
"DEMÓCRATA PROGRESISTA (9)",4,4,4,4,4
"RENOVADOR FEDERAL (10)",533,576,593,697,624
"LADRILLEROS UNIDOS (11)",10,6,6,6,6
"COMUNISTA (12)",7,7,-,8,7
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",10,11,11,11,12
"ACCIÓN POR CORRIENTES (14)",209,185,185,186,198
"UNIDOS POR CORRIENTES (15)",4,4,4,4,4
"LABORISTA AUTÓNOMO (17)",8,7,7,7,7
"ELI - ENCUENTRO LIBERAL (18)",21,23,22,12,11
"CAMBIO POPULAR (19)",6,6,6,6,6
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",6,6,-,7,7
"CONVOCATORIA POPULAR (21)",5,5,-,5,5
"FE (23)",1,1,1,1,2
"NUESTRA CAUSA (24)",3,3,3,3,3
"UNION POPULAR (25)",63,48,48,49,57
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",7,6,6,6,6
"ENCUENTRO CORRELIGIONARIO (27)",7,7,7,7,7
"CAMBIO AUSTERIDAD Y PROGRESO (28)",18,15,15,9,9
"DEL TRABAJO Y DEL PUEBLO (29)",7,6,6,6,6
"CIUDADANOS A GOBERNAR (30)",8,8,7,7,7
"CONSERVADOR POPULAR (31)",1,1,1,1,3
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",11,7,7,5,5
"NUEVO PAIS (33)",3,3,-,4,4
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",3,3,3,3,3
"TERCERA POSICIÓN (35)",5,5,5,-,-
"UNIÓN CORRENTINA (37)",12,11,11,12,12
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",3,2,2,2,2
"UNIÓN PARA EL DESARROLLO (42)",3,3,3,3,3
"NORTE GRANDE (43)",9,9,9,10,10
"ACCIÓN POR LA REPÚBLICA (44)",8,8,8,8,8
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",5,5,-,5,5
"VAMOS CORRIENTES (46)",23,21,21,20,17
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",4,4,4,3,3
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,0,0
"SOCIALISTA (50)",1,1,1,2,2
"LIBERAL (51)",40,35,35,35,34
"AUTONOMISTA (52)",5,5,5,4,5
"DE LA VICTORIA (54)",6,5,5,5,5
"PROYECTO CORRIENTES (57)",5,4,-,4,4
"PRO - PROPUESTA REPUBLICANA (64)",34,33,33,29,29
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",5,5,5,5,5
"NUEVO (90)",17,13,13,10,10
"POPULAR CORRENTINO (169)",21,16,16,9,9
"CRECER CON TODOS (170)",14,13,13,12,13
"UNIÓN CELESTE Y BLANCO (173)",10,10,-,7,6
"COMPROMISO CORRENTINO (175)",8,8,-,7,6
"KOLINA (192)",10,10,9,9,9
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",77,147,153,40,131
"Votos Nulos",21,19,19,18,18
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
