partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",84,78,80,82,82
"JUSTICIALISTA (2)",353,371,530,378,364
"UNIÓN CÍVICA RADICAL (3)",722,699,701,785,716
"MOVIMIENTO SIEMPRE CORRIENTES (4)",47,46,45,46,45
"DEMÓCRATA CRISTIANO (5)",32,37,34,34,31
"DE LA CONCERTACIÓN - FORJA (7)",35,34,34,34,34
"FEDERAL (8)",61,62,-,64,62
"DEMÓCRATA PROGRESISTA (9)",56,54,54,-,-
"RENOVADOR FEDERAL (10)",19,20,21,21,22
"LADRILLEROS UNIDOS (11)",39,36,35,39,38
"COMUNISTA (12)",10,10,-,10,10
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",24,24,24,23,19
"ACCIÓN POR CORRIENTES (14)",35,33,32,34,32
"UNIDOS POR CORRIENTES (15)",50,49,49,49,45
"LABORISTA AUTÓNOMO (17)",22,22,22,-,-
"ELI - ENCUENTRO LIBERAL (18)",338,331,328,329,302
"CAMBIO POPULAR (19)",15,15,15,16,16
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",15,15,-,16,16
"CONVOCATORIA POPULAR (21)",26,27,-,24,23
"FE (23)",6,6,6,6,6
"NUESTRA CAUSA (24)",8,8,8,8,8
"UNION POPULAR (25)",66,62,61,82,80
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",16,16,16,18,18
"ENCUENTRO CORRELIGIONARIO (27)",19,19,19,19,18
"CAMBIO AUSTERIDAD Y PROGRESO (28)",19,18,18,18,18
"DEL TRABAJO Y DEL PUEBLO (29)",11,12,12,12,12
"CIUDADANOS A GOBERNAR (30)",35,35,34,35,32
"CONSERVADOR POPULAR (31)",12,11,11,11,11
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",63,59,63,63,77
"NUEVO PAIS (33)",4,5,-,5,5
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",45,42,42,-,-
"TERCERA POSICIÓN (35)",7,7,7,7,7
"UNIÓN CORRENTINA (37)",13,13,12,12,12
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",13,13,13,13,13
"UNIÓN PARA EL DESARROLLO (42)",7,7,7,7,7
"NORTE GRANDE (43)",7,7,7,7,7
"ACCIÓN POR LA REPÚBLICA (44)",15,15,15,15,15
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",3,4,-,2,2
"VAMOS CORRIENTES (46)",24,20,20,20,19
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",63,63,63,62,61
"PARTIDO AGRARIO Y SOCIAL (49)",12,12,-,11,11
"SOCIALISTA (50)",24,23,22,22,22
"LIBERAL (51)",79,75,74,77,74
"AUTONOMISTA (52)",107,103,100,122,205
"DE LA VICTORIA (54)",10,10,10,10,10
"PROYECTO CORRIENTES (57)",10,10,-,10,10
"PRO - PROPUESTA REPUBLICANA (64)",78,69,76,72,70
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",6,6,6,6,6
"NUEVO (90)",24,24,25,24,25
"POPULAR CORRENTINO (169)",91,83,81,83,80
"CRECER CON TODOS (170)",41,41,43,51,49
"UNIÓN CELESTE Y BLANCO (173)",27,27,-,27,26
"COMPROMISO CORRENTINO (175)",3,3,-,1,1
"KOLINA (192)",21,22,21,22,21
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,18,17
"Votos en Blanco",82,149,166,101,146
"Votos Nulos",51,41,41,40,43
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
