partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",36,33,33,34,34
"JUSTICIALISTA (2)",228,232,429,247,234
"UNIÓN CÍVICA RADICAL (3)",381,367,373,370,352
"MOVIMIENTO SIEMPRE CORRIENTES (4)",32,33,34,33,32
"DEMÓCRATA CRISTIANO (5)",9,9,9,9,10
"DE LA CONCERTACIÓN - FORJA (7)",43,40,41,43,39
"FEDERAL (8)",57,57,-,58,56
"DEMÓCRATA PROGRESISTA (9)",34,31,33,33,32
"RENOVADOR FEDERAL (10)",24,25,25,30,29
"LADRILLEROS UNIDOS (11)",25,25,25,24,28
"COMUNISTA (12)",15,18,-,17,17
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",6,6,6,7,6
"ACCIÓN POR CORRIENTES (14)",11,11,11,11,11
"UNIDOS POR CORRIENTES (15)",17,17,17,17,17
"LABORISTA AUTÓNOMO (17)",17,17,17,17,17
"ELI - ENCUENTRO LIBERAL (18)",84,81,78,80,79
"CAMBIO POPULAR (19)",26,26,26,27,28
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",13,13,-,13,13
"FE (23)",3,3,3,3,3
"NUESTRA CAUSA (24)",7,7,7,7,7
"UNION POPULAR (25)",32,26,26,26,26
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",11,11,10,8,7
"ENCUENTRO CORRELIGIONARIO (27)",13,13,13,14,13
"CAMBIO AUSTERIDAD Y PROGRESO (28)",10,10,11,9,9
"DEL TRABAJO Y DEL PUEBLO (29)",17,17,17,18,18
"CIUDADANOS A GOBERNAR (30)",27,26,25,24,25
"CONSERVADOR POPULAR (31)",7,7,7,7,7
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",7,6,7,6,6
"NUEVO PAIS (33)",26,29,-,35,36
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",6,6,6,7,7
"TERCERA POSICIÓN (35)",7,7,7,7,7
"UNIÓN CORRENTINA (37)",6,5,6,5,5
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",11,10,10,11,9
"UNIÓN PARA EL DESARROLLO (42)",12,12,12,11,12
"NORTE GRANDE (43)",19,19,19,19,18
"ACCIÓN POR LA REPÚBLICA (44)",7,7,7,8,8
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",4,4,-,1,-
"VAMOS CORRIENTES (46)",39,37,36,26,27
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",9,9,8,8,8
"PARTIDO AGRARIO Y SOCIAL (49)",7,6,-,6,7
"SOCIALISTA (50)",11,10,10,11,11
"LIBERAL (51)",24,24,25,22,22
"AUTONOMISTA (52)",107,101,99,113,130
"DE LA VICTORIA (54)",33,34,32,36,32
"PROYECTO CORRIENTES (57)",44,43,-,56,54
"PRO - PROPUESTA REPUBLICANA (64)",81,80,78,78,75
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",14,14,14,16,15
"NUEVO (90)",16,8,8,8,7
"POPULAR CORRENTINO (169)",51,39,36,38,46
"CRECER CON TODOS (170)",19,18,15,15,12
"UNIÓN CELESTE Y BLANCO (173)",20,21,-,21,21
"COMPROMISO CORRENTINO (175)",4,4,-,5,6
"KOLINA (192)",18,19,17,18,18
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,17,19
"Votos en Blanco",71,143,148,86,109
"Votos Nulos",30,12,12,12,12
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
