partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",56,56,55,51,49
"JUSTICIALISTA (2)",50,49,281,60,55
"UNIÓN CÍVICA RADICAL (3)",474,456,447,363,366
"MOVIMIENTO SIEMPRE CORRIENTES (4)",56,54,53,48,48
"DEMÓCRATA CRISTIANO (5)",23,24,26,34,32
"DE LA CONCERTACIÓN - FORJA (7)",25,24,21,21,20
"FEDERAL (8)",34,33,-,43,40
"DEMÓCRATA PROGRESISTA (9)",41,39,39,39,38
"RENOVADOR FEDERAL (10)",24,24,26,32,30
"LADRILLEROS UNIDOS (11)",45,42,40,37,35
"COMUNISTA (12)",24,24,-,25,39
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",31,30,30,19,18
"ACCIÓN POR CORRIENTES (14)",21,21,20,17,16
"UNIDOS POR CORRIENTES (15)",57,51,49,46,45
"LABORISTA AUTÓNOMO (17)",17,17,16,14,14
"ELI - ENCUENTRO LIBERAL (18)",81,77,77,75,77
"CAMBIO POPULAR (19)",18,18,18,24,24
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",25,24,-,31,31
"CONVOCATORIA POPULAR (21)",19,17,-,19,-
"FE (23)",13,13,14,21,-
"NUESTRA CAUSA (24)",6,6,5,7,5
"UNION POPULAR (25)",104,101,98,91,92
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",26,26,26,35,31
"ENCUENTRO CORRELIGIONARIO (27)",45,45,45,42,42
"CAMBIO AUSTERIDAD Y PROGRESO (28)",10,10,10,9,9
"DEL TRABAJO Y DEL PUEBLO (29)",31,32,34,39,37
"CIUDADANOS A GOBERNAR (30)",32,29,29,31,31
"CONSERVADOR POPULAR (31)",33,30,29,28,27
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",57,54,53,47,47
"NUEVO PAIS (33)",38,36,-,48,44
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",15,14,13,11,11
"TERCERA POSICIÓN (35)",11,12,10,10,-
"UNIÓN CORRENTINA (37)",40,37,37,38,38
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",16,16,15,14,14
"UNIÓN PARA EL DESARROLLO (42)",18,16,16,14,15
"NORTE GRANDE (43)",18,17,17,16,16
"ACCIÓN POR LA REPÚBLICA (44)",21,21,21,18,20
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",13,13,-,18,15
"VAMOS CORRIENTES (46)",55,50,49,46,49
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",162,157,143,148,146
"PARTIDO AGRARIO Y SOCIAL (49)",48,49,-,64,60
"SOCIALISTA (50)",33,33,33,32,32
"LIBERAL (51)",59,57,57,53,53
"AUTONOMISTA (52)",65,62,62,55,57
"DE LA VICTORIA (54)",9,10,11,11,12
"PROYECTO CORRIENTES (57)",50,51,-,73,68
"PRO - PROPUESTA REPUBLICANA (64)",35,34,33,31,34
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2,4,3
"NUEVO (90)",47,47,44,41,45
"POPULAR CORRENTINO (169)",150,145,141,136,138
"CRECER CON TODOS (170)",23,22,22,20,21
"UNIÓN CELESTE Y BLANCO (173)",17,17,-,21,18
"COMPROMISO CORRENTINO (175)",20,20,-,29,25
"KOLINA (192)",12,12,12,14,14
"INTEGRACIÓN CORRENTINA (36)",-,-,-,57,57
"NUEVA CORRIENTES (41)",-,-,-,10,9
"Votos en Blanco",56,129,221,130,194
"Votos Nulos",63,63,68,60,62
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
