partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",88,81,80
"JUSTICIALISTA (2)",245,236,340
"UNIÓN CÍVICA RADICAL (3)",592,578,576
"MOVIMIENTO SIEMPRE CORRIENTES (4)",40,36,36
"DEMÓCRATA CRISTIANO (5)",54,55,55
"DE LA CONCERTACIÓN - FORJA (7)",39,36,36
"FEDERAL (8)",27,25,-
"DEMÓCRATA PROGRESISTA (9)",27,26,25
"RENOVADOR FEDERAL (10)",73,73,70
"LADRILLEROS UNIDOS (11)",38,36,37
"COMUNISTA (12)",24,23,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",20,20,20
"ACCIÓN POR CORRIENTES (14)",26,25,25
"UNIDOS POR CORRIENTES (15)",50,47,48
"LABORISTA AUTÓNOMO (17)",36,35,34
"ELI - ENCUENTRO LIBERAL (18)",92,90,91
"CAMBIO POPULAR (19)",7,7,7
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",16,16,-
"CONVOCATORIA POPULAR (21)",27,27,-
"FE (23)",11,10,10
"NUESTRA CAUSA (24)",9,9,9
"UNION POPULAR (25)",37,35,35
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",18,18,18
"ENCUENTRO CORRELIGIONARIO (27)",36,35,35
"CAMBIO AUSTERIDAD Y PROGRESO (28)",97,94,94
"DEL TRABAJO Y DEL PUEBLO (29)",25,25,23
"CIUDADANOS A GOBERNAR (30)",44,44,44
"CONSERVADOR POPULAR (31)",9,9,9
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",26,24,24
"NUEVO PAIS (33)",6,6,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",11,10,10
"TERCERA POSICIÓN (35)",6,7,7
"UNIÓN CORRENTINA (37)",13,12,11
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",15,13,13
"UNIÓN PARA EL DESARROLLO (42)",21,21,21
"NORTE GRANDE (43)",39,36,36
"ACCIÓN POR LA REPÚBLICA (44)",19,18,18
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",11,11,-
"VAMOS CORRIENTES (46)",86,84,84
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",5,5,5
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",12,12,12
"LIBERAL (51)",36,34,33
"AUTONOMISTA (52)",22,21,21
"DE LA VICTORIA (54)",25,24,25
"PROYECTO CORRIENTES (57)",10,9,-
"PRO - PROPUESTA REPUBLICANA (64)",78,75,75
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",12,13,13
"NUEVO (90)",21,21,21
"POPULAR CORRENTINO (169)",44,43,43
"CRECER CON TODOS (170)",17,16,16
"UNIÓN CELESTE Y BLANCO (173)",8,8,-
"COMPROMISO CORRENTINO (175)",5,5,-
"KOLINA (192)",20,20,18
"Votos en Blanco",58,161,194
"Votos Nulos",64,30,33
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
