partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",6,6,6
"JUSTICIALISTA (2)",101,113,167
"UNIÓN CÍVICA RADICAL (3)",160,158,158
"MOVIMIENTO SIEMPRE CORRIENTES (4)",9,9,11
"DEMÓCRATA CRISTIANO (5)",23,23,23
"DE LA CONCERTACIÓN - FORJA (7)",29,28,25
"FEDERAL (8)",8,7,-
"DEMÓCRATA PROGRESISTA (9)",4,4,4
"RENOVADOR FEDERAL (10)",9,9,10
"LADRILLEROS UNIDOS (11)",15,14,14
"COMUNISTA (12)",11,11,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",8,9,9
"ACCIÓN POR CORRIENTES (14)",10,10,10
"UNIDOS POR CORRIENTES (15)",5,5,5
"LABORISTA AUTÓNOMO (17)",14,14,14
"ELI - ENCUENTRO LIBERAL (18)",11,11,11
"CAMBIO POPULAR (19)",10,10,10
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",18,18,-
"CONVOCATORIA POPULAR (21)",6,6,-
"FE (23)",4,4,4
"NUESTRA CAUSA (24)",5,5,5
"UNION POPULAR (25)",14,14,14
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",5,5,5
"ENCUENTRO CORRELIGIONARIO (27)",14,14,14
"CAMBIO AUSTERIDAD Y PROGRESO (28)",64,64,64
"DEL TRABAJO Y DEL PUEBLO (29)",5,5,5
"CIUDADANOS A GOBERNAR (30)",10,10,10
"CONSERVADOR POPULAR (31)",26,25,24
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",20,20,19
"NUEVO PAIS (33)",12,11,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",18,18,18
"TERCERA POSICIÓN (35)",10,10,10
"UNIÓN CORRENTINA (37)",4,4,4
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",2,2,2
"UNIÓN PARA EL DESARROLLO (42)",15,15,15
"NORTE GRANDE (43)",27,27,26
"ACCIÓN POR LA REPÚBLICA (44)",8,7,7
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",10,10,-
"VAMOS CORRIENTES (46)",12,12,11
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",8,8,8
"PARTIDO AGRARIO Y SOCIAL (49)",3,3,-
"SOCIALISTA (50)",3,3,3
"LIBERAL (51)",6,6,6
"AUTONOMISTA (52)",8,7,7
"DE LA VICTORIA (54)",4,4,4
"PROYECTO CORRIENTES (57)",7,7,-
"PRO - PROPUESTA REPUBLICANA (64)",21,21,21
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,5
"NUEVO (90)",7,7,7
"POPULAR CORRENTINO (169)",13,13,13
"CRECER CON TODOS (170)",14,14,14
"UNIÓN CELESTE Y BLANCO (173)",11,10,-
"COMPROMISO CORRENTINO (175)",4,4,-
"KOLINA (192)",2,2,2
"Votos en Blanco",45,52,86
"Votos Nulos",18,8,8
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
