partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",66,61,60,61,60
"JUSTICIALISTA (2)",199,208,267,232,210
"UNIÓN CÍVICA RADICAL (3)",495,476,466,535,454
"MOVIMIENTO SIEMPRE CORRIENTES (4)",28,27,27,30,28
"DEMÓCRATA CRISTIANO (5)",15,15,15,16,15
"DE LA CONCERTACIÓN - FORJA (7)",39,39,40,40,40
"FEDERAL (8)",19,19,-,21,22
"DEMÓCRATA PROGRESISTA (9)",31,27,27,-,-
"RENOVADOR FEDERAL (10)",21,21,20,22,17
"LADRILLEROS UNIDOS (11)",16,15,15,16,15
"COMUNISTA (12)",5,4,-,4,4
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",7,7,7,8,7
"ACCIÓN POR CORRIENTES (14)",23,21,22,23,16
"UNIDOS POR CORRIENTES (15)",10,8,8,8,8
"LABORISTA AUTÓNOMO (17)",12,10,10,-,-
"ELI - ENCUENTRO LIBERAL (18)",157,150,152,151,135
"CAMBIO POPULAR (19)",4,4,4,4,4
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",4,4,-,5,4
"CONVOCATORIA POPULAR (21)",4,4,-,5,5
"FE (23)",3,3,3,5,5
"NUESTRA CAUSA (24)",2,3,2,2,2
"UNION POPULAR (25)",21,20,19,27,24
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",4,4,4,4,4
"ENCUENTRO CORRELIGIONARIO (27)",13,13,13,13,11
"CAMBIO AUSTERIDAD Y PROGRESO (28)",10,9,10,8,8
"DEL TRABAJO Y DEL PUEBLO (29)",2,2,2,2,2
"CIUDADANOS A GOBERNAR (30)",8,8,8,8,8
"CONSERVADOR POPULAR (31)",3,3,3,3,3
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",35,32,34,35,45
"NUEVO PAIS (33)",4,3,-,3,3
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",54,51,52,-,-
"TERCERA POSICIÓN (35)",1,1,1,2,1
"UNIÓN CORRENTINA (37)",4,4,4,4,4
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",8,8,8,8,8
"UNIÓN PARA EL DESARROLLO (42)",9,9,9,9,9
"NORTE GRANDE (43)",10,10,10,10,10
"ACCIÓN POR LA REPÚBLICA (44)",17,17,16,15,8
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-,1,1
"VAMOS CORRIENTES (46)",5,5,5,5,4
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",21,18,18,21,20
"PARTIDO AGRARIO Y SOCIAL (49)",3,3,-,3,3
"SOCIALISTA (50)",9,9,9,9,9
"LIBERAL (51)",75,71,71,70,63
"AUTONOMISTA (52)",95,87,93,119,213
"DE LA VICTORIA (54)",4,4,4,3,4
"PROYECTO CORRIENTES (57)",6,7,-,5,5
"PRO - PROPUESTA REPUBLICANA (64)",44,42,43,42,36
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",3,3,3,4,3
"NUEVO (90)",20,19,19,18,28
"POPULAR CORRENTINO (169)",77,74,74,75,74
"CRECER CON TODOS (170)",23,18,18,34,34
"UNIÓN CELESTE Y BLANCO (173)",25,26,-,26,25
"COMPROMISO CORRENTINO (175)",4,4,-,3,3
"KOLINA (192)",14,15,14,14,14
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,9,8
"Votos en Blanco",42,111,128,49,91
"Votos Nulos",17,14,14,7,14
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
