partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",14,14,14,14,14
"JUSTICIALISTA (2)",90,95,180,95,95
"UNIÓN CÍVICA RADICAL (3)",29,28,28,25,25
"MOVIMIENTO SIEMPRE CORRIENTES (4)",5,5,5,4,16
"DEMÓCRATA CRISTIANO (5)",12,12,12,14,13
"DE LA CONCERTACIÓN - FORJA (7)",4,4,4,4,4
"FEDERAL (8)",0,0,-,0,0
"DEMÓCRATA PROGRESISTA (9)",18,19,19,18,18
"RENOVADOR FEDERAL (10)",7,7,7,9,8
"LADRILLEROS UNIDOS (11)",7,7,7,7,7
"COMUNISTA (12)",0,0,-,0,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",5,5,5,6,6
"ACCIÓN POR CORRIENTES (14)",4,4,4,4,4
"UNIDOS POR CORRIENTES (15)",10,9,9,8,8
"LABORISTA AUTÓNOMO (17)",0,0,0,0,0
"ELI - ENCUENTRO LIBERAL (18)",12,11,11,11,11
"CAMBIO POPULAR (19)",0,0,0,0,0
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",1,1,-,0,0
"FE (23)",0,0,0,0,0
"NUESTRA CAUSA (24)",8,8,8,9,9
"UNION POPULAR (25)",9,9,9,9,9
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,0,0
"ENCUENTRO CORRELIGIONARIO (27)",16,15,15,15,16
"CAMBIO AUSTERIDAD Y PROGRESO (28)",5,5,6,6,6
"DEL TRABAJO Y DEL PUEBLO (29)",2,2,2,2,2
"CIUDADANOS A GOBERNAR (30)",1,1,1,1,1
"CONSERVADOR POPULAR (31)",0,0,0,0,0
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",1,1,1,1,1
"NUEVO PAIS (33)",36,39,-,39,38
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",1,1,1,1,1
"TERCERA POSICIÓN (35)",11,11,11,11,11
"UNIÓN CORRENTINA (37)",1,1,1,0,0
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",1,1,1,1,1
"UNIÓN PARA EL DESARROLLO (42)",1,1,1,1,1
"NORTE GRANDE (43)",1,1,1,1,1
"ACCIÓN POR LA REPÚBLICA (44)",0,0,0,0,0
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",1,1,1,1,4
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",1,1,1,1,1
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-
"SOCIALISTA (50)",2,2,2,2,2
"LIBERAL (51)",2,2,2,2,2
"AUTONOMISTA (52)",0,0,0,0,0
"DE LA VICTORIA (54)",10,11,11,12,12
"PROYECTO CORRIENTES (57)",1,1,-,1,1
"PRO - PROPUESTA REPUBLICANA (64)",0,0,0,0,1
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",30,30,26,6,29
"NUEVO (90)",30,28,28,29,29
"POPULAR CORRENTINO (169)",54,53,53,54,55
"CRECER CON TODOS (170)",1,1,1,0,0
"UNIÓN CELESTE Y BLANCO (173)",45,45,-,46,46
"COMPROMISO CORRENTINO (175)",2,2,-,0,0
"KOLINA (192)",39,39,40,43,40
"Votos en Blanco",9,8,11,26,9
"Votos Nulos",4,4,4,4,4
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
