partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",25,24,24
"JUSTICIALISTA (2)",264,263,351
"UNIÓN CÍVICA RADICAL (3)",377,374,374
"MOVIMIENTO SIEMPRE CORRIENTES (4)",11,11,11
"DEMÓCRATA CRISTIANO (5)",0,0,0
"DE LA CONCERTACIÓN - FORJA (7)",39,38,38
"FEDERAL (8)",13,12,-
"DEMÓCRATA PROGRESISTA (9)",8,6,6
"RENOVADOR FEDERAL (10)",21,20,20
"LADRILLEROS UNIDOS (11)",6,6,6
"COMUNISTA (12)",12,12,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0
"ACCIÓN POR CORRIENTES (14)",11,11,11
"UNIDOS POR CORRIENTES (15)",11,11,11
"LABORISTA AUTÓNOMO (17)",13,12,12
"ELI - ENCUENTRO LIBERAL (18)",96,97,96
"CAMBIO POPULAR (19)",9,9,9
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",3,3,-
"CONVOCATORIA POPULAR (21)",11,11,-
"FE (23)",0,0,0
"NUESTRA CAUSA (24)",9,10,10
"UNION POPULAR (25)",13,13,13
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",9,9,9
"ENCUENTRO CORRELIGIONARIO (27)",11,11,12
"CAMBIO AUSTERIDAD Y PROGRESO (28)",10,9,12
"DEL TRABAJO Y DEL PUEBLO (29)",13,14,14
"CIUDADANOS A GOBERNAR (30)",18,17,17
"CONSERVADOR POPULAR (31)",9,8,8
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",6,4,4
"NUEVO PAIS (33)",13,13,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",14,14,14
"TERCERA POSICIÓN (35)",0,0,0
"UNIÓN CORRENTINA (37)",12,12,12
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",4,4,4
"UNIÓN PARA EL DESARROLLO (42)",3,3,3
"NORTE GRANDE (43)",66,66,66
"ACCIÓN POR LA REPÚBLICA (44)",78,73,74
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",53,52,52
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",83,82,82
"PARTIDO AGRARIO Y SOCIAL (49)",16,16,-
"SOCIALISTA (50)",60,58,58
"LIBERAL (51)",337,335,334
"AUTONOMISTA (52)",56,56,60
"DE LA VICTORIA (54)",12,12,12
"PROYECTO CORRIENTES (57)",13,13,-
"PRO - PROPUESTA REPUBLICANA (64)",16,17,16
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",46,46,46
"NUEVO (90)",64,61,60
"POPULAR CORRENTINO (169)",75,74,75
"CRECER CON TODOS (170)",12,9,9
"UNIÓN CELESTE Y BLANCO (173)",10,10,-
"COMPROMISO CORRENTINO (175)",6,6,-
"KOLINA (192)",6,6,5
"Votos en Blanco",34,75,72
"Votos Nulos",20,9,15
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
