partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",14,13,13,13,13
"JUSTICIALISTA (2)",495,497,545,502,497
"UNIÓN CÍVICA RADICAL (3)",343,340,339,370,360
"MOVIMIENTO SIEMPRE CORRIENTES (4)",7,7,7,7,7
"DEMÓCRATA CRISTIANO (5)",5,5,5,5,6
"DE LA CONCERTACIÓN - FORJA (7)",22,21,21,21,21
"FEDERAL (8)",2,2,-,2,2
"DEMÓCRATA PROGRESISTA (9)",16,16,15,-,-
"RENOVADOR FEDERAL (10)",9,9,9,9,9
"LADRILLEROS UNIDOS (11)",11,11,11,11,11
"COMUNISTA (12)",2,2,-,2,2
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",22,22,22,21,21
"ACCIÓN POR CORRIENTES (14)",13,13,13,12,11
"UNIDOS POR CORRIENTES (15)",20,19,19,19,19
"LABORISTA AUTÓNOMO (17)",17,17,17,-,-
"ELI - ENCUENTRO LIBERAL (18)",164,160,159,161,159
"CAMBIO POPULAR (19)",26,26,26,26,26
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",13,13,-,13,13
"FE (23)",4,4,4,5,4
"NUESTRA CAUSA (24)",3,3,3,3,3
"UNION POPULAR (25)",20,19,19,32,31
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",13,13,13,13,13
"ENCUENTRO CORRELIGIONARIO (27)",8,8,8,8,8
"CAMBIO AUSTERIDAD Y PROGRESO (28)",1,1,1,1,1
"DEL TRABAJO Y DEL PUEBLO (29)",10,10,10,10,10
"CIUDADANOS A GOBERNAR (30)",6,6,6,6,6
"CONSERVADOR POPULAR (31)",14,14,14,14,14
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",11,11,11,11,12
"NUEVO PAIS (33)",6,6,-,6,6
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",14,13,12,-,-
"TERCERA POSICIÓN (35)",3,3,3,3,3
"UNIÓN CORRENTINA (37)",8,8,8,8,8
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",5,5,5,5,5
"UNIÓN PARA EL DESARROLLO (42)",2,2,2,2,2
"NORTE GRANDE (43)",4,4,4,4,4
"ACCIÓN POR LA REPÚBLICA (44)",10,9,9,9,5
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",3,3,-,0,0
"VAMOS CORRIENTES (46)",6,6,7,5,5
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",29,29,29,29,29
"PARTIDO AGRARIO Y SOCIAL (49)",4,4,-,4,4
"SOCIALISTA (50)",7,6,5,5,5
"LIBERAL (51)",80,80,80,82,82
"AUTONOMISTA (52)",30,29,29,29,35
"DE LA VICTORIA (54)",12,12,11,10,10
"PROYECTO CORRIENTES (57)",7,7,-,7,7
"PRO - PROPUESTA REPUBLICANA (64)",7,7,7,7,7
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",6,6,6,6,6
"NUEVO (90)",21,21,22,21,25
"POPULAR CORRENTINO (169)",117,115,112,112,107
"CRECER CON TODOS (170)",3,3,3,4,4
"UNIÓN CELESTE Y BLANCO (173)",23,23,-,23,21
"COMPROMISO CORRENTINO (175)",3,2,-,0,0
"KOLINA (192)",7,7,7,7,7
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,26,25
"Votos en Blanco",60,76,97,57,77
"Votos Nulos",8,8,8,8,8
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
