partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",59,54,54,48,48
"JUSTICIALISTA (2)",117,117,377,134,131
"UNIÓN CÍVICA RADICAL (3)",608,586,587,421,414
"MOVIMIENTO SIEMPRE CORRIENTES (4)",40,40,38,34,33
"DEMÓCRATA CRISTIANO (5)",27,27,28,30,30
"DE LA CONCERTACIÓN - FORJA (7)",30,29,29,29,27
"FEDERAL (8)",40,40,-,57,56
"DEMÓCRATA PROGRESISTA (9)",53,49,49,44,44
"RENOVADOR FEDERAL (10)",48,49,51,62,59
"LADRILLEROS UNIDOS (11)",48,47,47,48,46
"COMUNISTA (12)",13,12,-,21,34
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",15,15,17,17,16
"ACCIÓN POR CORRIENTES (14)",29,28,28,26,27
"UNIDOS POR CORRIENTES (15)",40,40,39,35,35
"LABORISTA AUTÓNOMO (17)",58,50,50,48,49
"ELI - ENCUENTRO LIBERAL (18)",122,120,118,110,113
"CAMBIO POPULAR (19)",16,16,16,25,22
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",17,17,-,28,27
"CONVOCATORIA POPULAR (21)",13,14,-,18,-
"FE (23)",9,9,12,15,-
"NUESTRA CAUSA (24)",8,8,7,7,7
"UNION POPULAR (25)",62,60,61,58,57
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",15,15,15,27,24
"ENCUENTRO CORRELIGIONARIO (27)",73,70,68,55,59
"CAMBIO AUSTERIDAD Y PROGRESO (28)",27,23,24,24,22
"DEL TRABAJO Y DEL PUEBLO (29)",16,14,15,20,21
"CIUDADANOS A GOBERNAR (30)",50,48,48,43,43
"CONSERVADOR POPULAR (31)",43,39,39,40,38
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",51,49,51,47,48
"NUEVO PAIS (33)",26,25,-,29,30
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",31,29,29,30,30
"TERCERA POSICIÓN (35)",11,15,17,18,-
"UNIÓN CORRENTINA (37)",42,39,39,38,36
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",16,16,16,13,13
"UNIÓN PARA EL DESARROLLO (42)",27,26,25,24,24
"NORTE GRANDE (43)",17,17,17,16,15
"ACCIÓN POR LA REPÚBLICA (44)",28,27,27,27,26
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",25,24,-,31,30
"VAMOS CORRIENTES (46)",63,58,57,55,57
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",156,150,142,138,140
"PARTIDO AGRARIO Y SOCIAL (49)",45,48,-,60,59
"SOCIALISTA (50)",58,58,57,54,55
"LIBERAL (51)",86,81,80,68,76
"AUTONOMISTA (52)",47,48,48,44,43
"DE LA VICTORIA (54)",17,16,16,18,18
"PROYECTO CORRIENTES (57)",47,49,-,70,64
"PRO - PROPUESTA REPUBLICANA (64)",48,47,45,42,42
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",19,19,18,25,25
"NUEVO (90)",64,64,64,62,65
"POPULAR CORRENTINO (169)",123,121,120,106,110
"CRECER CON TODOS (170)",31,29,29,27,26
"UNIÓN CELESTE Y BLANCO (173)",10,9,-,15,15
"COMPROMISO CORRENTINO (175)",28,30,-,43,38
"KOLINA (192)",20,20,21,24,24
"INTEGRACIÓN CORRENTINA (36)",-,-,-,97,98
"NUEVA CORRIENTES (41)",-,-,-,7,6
"Votos en Blanco",85,170,185,178,235
"Votos Nulos",69,66,67,56,56
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
