partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",79,71,71,66,68
"JUSTICIALISTA (2)",5,5,529,-,0
"UNIÓN CÍVICA RADICAL (3)",568,527,522,515,500
"MOVIMIENTO SIEMPRE CORRIENTES (4)",48,46,44,41,40
"DEMÓCRATA CRISTIANO (5)",4,4,4,-,1
"DE LA CONCERTACIÓN - FORJA (7)",52,49,49,47,46
"FEDERAL (8)",63,62,-,88,83
"DEMÓCRATA PROGRESISTA (9)",16,16,16,16,16
"RENOVADOR FEDERAL (10)",76,78,79,-,78
"LADRILLEROS UNIDOS (11)",37,36,36,34,39
"COMUNISTA (12)",3,3,-,-,1
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",1,0,0,-,1
"ACCIÓN POR CORRIENTES (14)",62,61,60,60,61
"UNIDOS POR CORRIENTES (15)",25,24,24,23,24
"LABORISTA AUTÓNOMO (17)",25,22,22,23,25
"ELI - ENCUENTRO LIBERAL (18)",60,58,59,55,56
"CAMBIO POPULAR (19)",32,33,32,37,33
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",27,27,-,36,31
"CONVOCATORIA POPULAR (21)",2,2,-,-,0
"FE (23)",3,2,2,-,-
"NUESTRA CAUSA (24)",132,136,136,-,137
"UNION POPULAR (25)",34,34,34,34,33
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",12,12,12,174,25
"ENCUENTRO CORRELIGIONARIO (27)",32,29,29,30,28
"CAMBIO AUSTERIDAD Y PROGRESO (28)",6,6,7,5,5
"DEL TRABAJO Y DEL PUEBLO (29)",3,2,2,-,2
"CIUDADANOS A GOBERNAR (30)",22,21,21,22,20
"CONSERVADOR POPULAR (31)",26,24,23,22,23
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",11,11,11,11,12
"NUEVO PAIS (33)",316,322,-,392,352
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",17,16,16,16,17
"TERCERA POSICIÓN (35)",0,0,0,-,0
"UNIÓN CORRENTINA (37)",20,18,10,11,12
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",23,22,22,22,24
"UNIÓN PARA EL DESARROLLO (42)",9,8,8,8,8
"NORTE GRANDE (43)",0,0,0,-,-
"ACCIÓN POR LA REPÚBLICA (44)",92,87,86,82,92
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",11,11,-,10,9
"VAMOS CORRIENTES (46)",4,3,3,4,4
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",10,9,9,8,8
"PARTIDO AGRARIO Y SOCIAL (49)",21,23,-,26,24
"SOCIALISTA (50)",50,49,49,48,55
"LIBERAL (51)",82,81,80,76,64
"AUTONOMISTA (52)",78,74,73,67,73
"DE LA VICTORIA (54)",0,0,0,-,0
"PROYECTO CORRIENTES (57)",93,98,-,111,112
"PRO - PROPUESTA REPUBLICANA (64)",93,91,90,89,95
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0,-,0
"NUEVO (90)",17,17,17,17,19
"POPULAR CORRENTINO (169)",35,34,34,34,34
"CRECER CON TODOS (170)",19,14,14,15,13
"UNIÓN CELESTE Y BLANCO (173)",21,21,-,38,35
"COMPROMISO CORRENTINO (175)",15,14,-,-,-
"KOLINA (192)",1,1,1,-,0
"Votos en Blanco",105,184,262,186,159
"Votos Nulos",33,33,33,32,34
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
