partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",44,44,44,46,45
"JUSTICIALISTA (2)",260,263,270,266,256
"UNIÓN CÍVICA RADICAL (3)",82,81,81,76,75
"MOVIMIENTO SIEMPRE CORRIENTES (4)",111,111,111,113,114
"DEMÓCRATA CRISTIANO (5)",10,9,9,10,10
"DE LA CONCERTACIÓN - FORJA (7)",3,3,3,3,3
"FEDERAL (8)",12,12,-,11,12
"DEMÓCRATA PROGRESISTA (9)",6,6,6,6,6
"RENOVADOR FEDERAL (10)",16,16,16,16,16
"LADRILLEROS UNIDOS (11)",11,11,11,11,11
"COMUNISTA (12)",3,3,-,3,3
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",5,5,5,31,30
"ACCIÓN POR CORRIENTES (14)",9,9,9,9,9
"UNIDOS POR CORRIENTES (15)",13,13,12,19,20
"LABORISTA AUTÓNOMO (17)",2,2,2,2,2
"ELI - ENCUENTRO LIBERAL (18)",41,37,38,38,46
"CAMBIO POPULAR (19)",3,3,3,4,4
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",2,2,-,2,2
"CONVOCATORIA POPULAR (21)",0,0,-,4,2
"FE (23)",5,5,5,5,6
"NUESTRA CAUSA (24)",6,6,6,6,6
"UNION POPULAR (25)",67,66,66,74,74
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,1,1,2,2
"ENCUENTRO CORRELIGIONARIO (27)",19,19,19,21,22
"CAMBIO AUSTERIDAD Y PROGRESO (28)",62,60,61,55,57
"DEL TRABAJO Y DEL PUEBLO (29)",5,5,5,5,5
"CIUDADANOS A GOBERNAR (30)",5,5,5,-,-
"CONSERVADOR POPULAR (31)",4,4,4,4,4
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",13,13,13,12,13
"NUEVO PAIS (33)",0,0,-,0,0
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",10,10,10,11,10
"TERCERA POSICIÓN (35)",5,5,5,5,5
"UNIÓN CORRENTINA (37)",32,32,32,0,1
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",6,6,6,7,7
"UNIÓN PARA EL DESARROLLO (42)",5,5,5,4,4
"NORTE GRANDE (43)",32,32,32,32,35
"ACCIÓN POR LA REPÚBLICA (44)",2,2,2,2,2
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",345,343,341,345,345
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",2,2,2,2,2
"PARTIDO AGRARIO Y SOCIAL (49)",1,1,-,0,0
"SOCIALISTA (50)",13,13,13,14,14
"LIBERAL (51)",42,42,42,40,41
"AUTONOMISTA (52)",11,11,12,4,4
"DE LA VICTORIA (54)",3,3,2,2,2
"PROYECTO CORRIENTES (57)",1,1,-,1,1
"PRO - PROPUESTA REPUBLICANA (64)",16,16,16,16,15
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2,2,2
"NUEVO (90)",32,32,32,33,33
"POPULAR CORRENTINO (169)",129,122,122,129,124
"CRECER CON TODOS (170)",4,4,4,4,4
"UNIÓN CELESTE Y BLANCO (173)",7,8,-,7,7
"COMPROMISO CORRENTINO (175)",4,4,-,5,5
"KOLINA (192)",1,1,1,1,1
"Votos en Blanco",91,109,134,100,101
"Votos Nulos",15,11,11,11,11
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
