partido,gobernador,senadores,diputados,intendente,concejales,convencionales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",0,0,0,0,0,0
"JUSTICIALISTA (2)",7,7,7,5,5,6
"UNIÓN CÍVICA RADICAL (3)",15,15,15,16,15,17
"MOVIMIENTO SIEMPRE CORRIENTES (4)",0,0,0,0,0,0
"DEMÓCRATA CRISTIANO (5)",0,0,0,0,0,0
"DE LA CONCERTACIÓN - FORJA (7)",0,0,0,0,0,0
"FEDERAL (8)",0,0,-,0,0,0
"DEMÓCRATA PROGRESISTA (9)",1,1,1,1,1,1
"RENOVADOR FEDERAL (10)",1,1,1,1,1,1
"LADRILLEROS UNIDOS (11)",0,0,0,0,0,0
"COMUNISTA (12)",0,0,-,0,0,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",1,1,1,1,1,1
"ACCIÓN POR CORRIENTES (14)",2,2,2,2,2,2
"UNIDOS POR CORRIENTES (15)",1,1,1,-,-,-
"LABORISTA AUTÓNOMO (17)",0,0,0,0,0,0
"ELI - ENCUENTRO LIBERAL (18)",0,0,0,0,0,0
"CAMBIO POPULAR (19)",0,0,0,0,0,0
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0,0
"CONVOCATORIA POPULAR (21)",0,0,-,0,0,0
"FE (23)",0,0,0,-,0,0
"NUESTRA CAUSA (24)",0,0,0,0,0,0
"UNION POPULAR (25)",2,2,2,2,2,2
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,0,0
"ENCUENTRO CORRELIGIONARIO (27)",0,0,0,0,0,0
"CAMBIO AUSTERIDAD Y PROGRESO (28)",0,0,0,-,-,-
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,0,0,0
"CIUDADANOS A GOBERNAR (30)",0,0,0,0,0,0
"CONSERVADOR POPULAR (31)",1,1,1,1,1,1
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0,0,0,0
"NUEVO PAIS (33)",0,0,-,0,0,0
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",0,0,0,0,0,0
"TERCERA POSICIÓN (35)",0,0,0,0,0,0
"UNIÓN CORRENTINA (37)",0,0,0,0,0,0
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",0,0,0,-,-,-
"UNIÓN PARA EL DESARROLLO (42)",0,0,0,0,0,0
"NORTE GRANDE (43)",2,2,2,2,2,2
"ACCIÓN POR LA REPÚBLICA (44)",0,0,0,0,0,0
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-,-
"VAMOS CORRIENTES (46)",0,0,0,0,0,0
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",1,1,1,1,1,1
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-,-
"SOCIALISTA (50)",0,0,0,0,0,0
"LIBERAL (51)",1,1,1,1,1,1
"AUTONOMISTA (52)",12,12,12,12,12,12
"DE LA VICTORIA (54)",0,0,0,0,0,0
"PROYECTO CORRIENTES (57)",0,0,-,0,0,0
"PRO - PROPUESTA REPUBLICANA (64)",4,4,4,4,4,4
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0,0,1,1
"NUEVO (90)",32,32,32,33,32,31
"POPULAR CORRENTINO (169)",1,1,1,1,1,1
"CRECER CON TODOS (170)",0,0,0,0,0,0
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,0,0,0
"COMPROMISO CORRENTINO (175)",0,0,-,0,0,0
"KOLINA (192)",0,0,0,0,0,0
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0,0
"Votos en Blanco",5,5,5,6,7,5
"Votos Nulos",0,0,0,0,0,0
"Votos Recurridos",0,0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-,-
