partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",6,5,5,5,5
"JUSTICIALISTA (2)",288,289,331,291,288
"UNIÓN CÍVICA RADICAL (3)",190,188,187,207,204
"MOVIMIENTO SIEMPRE CORRIENTES (4)",3,3,3,3,3
"DEMÓCRATA CRISTIANO (5)",4,4,4,4,4
"DE LA CONCERTACIÓN - FORJA (7)",4,4,4,4,4
"FEDERAL (8)",11,11,-,10,10
"DEMÓCRATA PROGRESISTA (9)",15,14,14,-,-
"RENOVADOR FEDERAL (10)",12,14,13,13,13
"LADRILLEROS UNIDOS (11)",6,6,6,6,5
"COMUNISTA (12)",3,3,-,3,3
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",4,4,4,4,4
"ACCIÓN POR CORRIENTES (14)",3,3,3,3,3
"UNIDOS POR CORRIENTES (15)",8,8,9,9,9
"LABORISTA AUTÓNOMO (17)",2,2,2,-,-
"ELI - ENCUENTRO LIBERAL (18)",151,147,146,149,144
"CAMBIO POPULAR (19)",48,48,48,48,47
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",9,9,-,9,9
"FE (23)",4,4,4,4,4
"NUESTRA CAUSA (24)",7,8,8,8,8
"UNION POPULAR (25)",12,12,12,13,13
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,1,1,1,1
"ENCUENTRO CORRELIGIONARIO (27)",6,6,6,6,6
"CAMBIO AUSTERIDAD Y PROGRESO (28)",4,4,4,4,4
"DEL TRABAJO Y DEL PUEBLO (29)",4,4,4,4,4
"CIUDADANOS A GOBERNAR (30)",5,5,5,5,5
"CONSERVADOR POPULAR (31)",3,2,2,3,2
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",2,2,2,2,3
"NUEVO PAIS (33)",3,3,-,2,2
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",12,11,11,-,-
"TERCERA POSICIÓN (35)",3,3,3,3,3
"UNIÓN CORRENTINA (37)",10,10,10,10,10
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",3,3,3,3,3
"UNIÓN PARA EL DESARROLLO (42)",3,3,3,3,3
"NORTE GRANDE (43)",1,1,1,1,1
"ACCIÓN POR LA REPÚBLICA (44)",9,9,9,9,9
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",4,4,-,3,3
"VAMOS CORRIENTES (46)",5,5,5,5,5
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",20,21,22,24,23
"PARTIDO AGRARIO Y SOCIAL (49)",6,6,-,6,6
"SOCIALISTA (50)",4,4,4,4,4
"LIBERAL (51)",76,75,77,78,78
"AUTONOMISTA (52)",15,12,14,15,13
"DE LA VICTORIA (54)",9,9,9,9,9
"PROYECTO CORRIENTES (57)",3,3,-,3,3
"PRO - PROPUESTA REPUBLICANA (64)",7,7,7,7,7
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,1,1
"NUEVO (90)",14,14,14,14,15
"POPULAR CORRENTINO (169)",16,16,16,16,16
"CRECER CON TODOS (170)",8,8,8,7,7
"UNIÓN CELESTE Y BLANCO (173)",19,19,-,19,19
"COMPROMISO CORRENTINO (175)",6,6,-,6,6
"KOLINA (192)",6,6,6,6,6
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,7,7
"Votos en Blanco",29,39,58,26,41
"Votos Nulos",6,5,5,8,8
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
