partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",80,73,73
"JUSTICIALISTA (2)",241,240,408
"UNIÓN CÍVICA RADICAL (3)",443,430,429
"MOVIMIENTO SIEMPRE CORRIENTES (4)",29,28,28
"DEMÓCRATA CRISTIANO (5)",52,53,53
"DE LA CONCERTACIÓN - FORJA (7)",21,20,20
"FEDERAL (8)",25,25,-
"DEMÓCRATA PROGRESISTA (9)",32,29,30
"RENOVADOR FEDERAL (10)",39,38,37
"LADRILLEROS UNIDOS (11)",13,11,12
"COMUNISTA (12)",8,8,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",8,8,8
"ACCIÓN POR CORRIENTES (14)",13,13,13
"UNIDOS POR CORRIENTES (15)",100,100,101
"LABORISTA AUTÓNOMO (17)",16,16,16
"ELI - ENCUENTRO LIBERAL (18)",88,79,79
"CAMBIO POPULAR (19)",12,12,12
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",9,9,-
"CONVOCATORIA POPULAR (21)",10,10,-
"FE (23)",9,8,8
"NUESTRA CAUSA (24)",4,4,4
"UNION POPULAR (25)",28,28,28
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",9,9,9
"ENCUENTRO CORRELIGIONARIO (27)",13,13,13
"CAMBIO AUSTERIDAD Y PROGRESO (28)",48,46,46
"DEL TRABAJO Y DEL PUEBLO (29)",9,9,9
"CIUDADANOS A GOBERNAR (30)",15,14,14
"CONSERVADOR POPULAR (31)",12,12,12
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",15,14,14
"NUEVO PAIS (33)",11,11,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",17,23,21
"TERCERA POSICIÓN (35)",5,5,5
"UNIÓN CORRENTINA (37)",18,17,18
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",22,21,21
"UNIÓN PARA EL DESARROLLO (42)",16,16,16
"NORTE GRANDE (43)",23,21,21
"ACCIÓN POR LA REPÚBLICA (44)",24,24,24
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",27,27,-
"VAMOS CORRIENTES (46)",32,31,30
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",21,19,19
"PARTIDO AGRARIO Y SOCIAL (49)",12,13,-
"SOCIALISTA (50)",27,25,25
"LIBERAL (51)",111,108,110
"AUTONOMISTA (52)",55,53,53
"DE LA VICTORIA (54)",35,35,35
"PROYECTO CORRIENTES (57)",20,20,-
"PRO - PROPUESTA REPUBLICANA (64)",63,62,62
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",9,8,8
"NUEVO (90)",26,22,22
"POPULAR CORRENTINO (169)",99,96,95
"CRECER CON TODOS (170)",53,46,46
"UNIÓN CELESTE Y BLANCO (173)",26,26,-
"COMPROMISO CORRENTINO (175)",29,28,-
"KOLINA (192)",39,41,41
"Votos en Blanco",54,121,130
"Votos Nulos",62,56,56
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
