partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",1,1,1,1,1
"JUSTICIALISTA (2)",4,4,6,-,-
"UNIÓN CÍVICA RADICAL (3)",15,14,14,18,18
"MOVIMIENTO SIEMPRE CORRIENTES (4)",3,3,3,3,9
"DEMÓCRATA CRISTIANO (5)",0,0,0,-,-
"DE LA CONCERTACIÓN - FORJA (7)",0,0,0,0,0
"FEDERAL (8)",0,0,-,-,-
"DEMÓCRATA PROGRESISTA (9)",0,0,0,0,0
"RENOVADOR FEDERAL (10)",0,0,0,-,-
"LADRILLEROS UNIDOS (11)",0,0,0,0,0
"COMUNISTA (12)",0,0,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,-,-
"ACCIÓN POR CORRIENTES (14)",0,0,0,0,0
"UNIDOS POR CORRIENTES (15)",0,0,0,0,0
"LABORISTA AUTÓNOMO (17)",0,0,0,0,0
"ELI - ENCUENTRO LIBERAL (18)",3,3,3,3,3
"CAMBIO POPULAR (19)",0,0,0,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,-,-
"CONVOCATORIA POPULAR (21)",0,0,-,-,-
"FE (23)",0,0,0,-,-
"NUESTRA CAUSA (24)",0,0,0,-,-
"UNION POPULAR (25)",64,62,62,74,63
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,-
"ENCUENTRO CORRELIGIONARIO (27)",1,1,1,1,1
"CAMBIO AUSTERIDAD Y PROGRESO (28)",0,0,0,0,0
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,-,-
"CIUDADANOS A GOBERNAR (30)",0,0,0,0,0
"CONSERVADOR POPULAR (31)",3,3,3,3,3
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",1,1,1,1,1
"NUEVO PAIS (33)",5,5,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",1,1,1,1,1
"TERCERA POSICIÓN (35)",0,0,0,-,-
"UNIÓN CORRENTINA (37)",0,0,0,0,0
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",4,4,4,-,-
"UNIÓN PARA EL DESARROLLO (42)",0,0,0,0,0
"NORTE GRANDE (43)",0,0,0,0,0
"ACCIÓN POR LA REPÚBLICA (44)",0,0,0,0,0
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",13,13,13,13,14
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",1,1,1,1,0
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-
"SOCIALISTA (50)",4,4,4,4,4
"LIBERAL (51)",5,5,5,5,4
"AUTONOMISTA (52)",10,10,10,10,9
"DE LA VICTORIA (54)",0,0,0,-,-
"PROYECTO CORRIENTES (57)",0,0,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",1,1,1,1,1
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0,-,-
"NUEVO (90)",0,0,0,-,-
"POPULAR CORRENTINO (169)",0,0,0,0,0
"CRECER CON TODOS (170)",0,0,0,0,0
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,-,-
"COMPROMISO CORRENTINO (175)",1,1,-,-,-
"KOLINA (192)",0,0,0,-,-
"Votos en Blanco",5,11,15,9,16
"Votos Nulos",3,0,0,0,0
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
