partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",12,10,10
"JUSTICIALISTA (2)",117,119,161
"UNIÓN CÍVICA RADICAL (3)",289,284,286
"MOVIMIENTO SIEMPRE CORRIENTES (4)",14,13,12
"DEMÓCRATA CRISTIANO (5)",7,7,7
"DE LA CONCERTACIÓN - FORJA (7)",8,8,8
"FEDERAL (8)",7,7,-
"DEMÓCRATA PROGRESISTA (9)",18,17,17
"RENOVADOR FEDERAL (10)",4,4,4
"LADRILLEROS UNIDOS (11)",12,12,12
"COMUNISTA (12)",2,3,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",4,3,3
"ACCIÓN POR CORRIENTES (14)",52,50,50
"UNIDOS POR CORRIENTES (15)",20,20,19
"LABORISTA AUTÓNOMO (17)",8,8,7
"ELI - ENCUENTRO LIBERAL (18)",161,156,155
"CAMBIO POPULAR (19)",3,3,3
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",8,13,-
"CONVOCATORIA POPULAR (21)",2,2,-
"FE (23)",0,0,0
"NUESTRA CAUSA (24)",4,3,3
"UNION POPULAR (25)",16,16,17
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",6,6,7
"ENCUENTRO CORRELIGIONARIO (27)",45,41,40
"CAMBIO AUSTERIDAD Y PROGRESO (28)",13,12,12
"DEL TRABAJO Y DEL PUEBLO (29)",9,9,9
"CIUDADANOS A GOBERNAR (30)",6,4,4
"CONSERVADOR POPULAR (31)",1,1,1
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",14,14,14
"NUEVO PAIS (33)",1,1,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",3,3,3
"TERCERA POSICIÓN (35)",2,2,1
"UNIÓN CORRENTINA (37)",7,8,8
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",5,4,4
"UNIÓN PARA EL DESARROLLO (42)",1,1,1
"NORTE GRANDE (43)",16,17,17
"ACCIÓN POR LA REPÚBLICA (44)",9,7,7
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",8,8,8
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",11,10,10
"PARTIDO AGRARIO Y SOCIAL (49)",4,5,-
"SOCIALISTA (50)",1,1,1
"LIBERAL (51)",43,43,43
"AUTONOMISTA (52)",41,38,38
"DE LA VICTORIA (54)",9,9,9
"PROYECTO CORRIENTES (57)",8,8,-
"PRO - PROPUESTA REPUBLICANA (64)",15,14,15
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2
"NUEVO (90)",35,33,33
"POPULAR CORRENTINO (169)",79,72,73
"CRECER CON TODOS (170)",4,4,4
"UNIÓN CELESTE Y BLANCO (173)",10,10,-
"COMPROMISO CORRENTINO (175)",4,5,-
"KOLINA (192)",2,3,2
"Votos en Blanco",17,48,60
"Votos Nulos",23,19,20
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
