partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",0,0,0
"JUSTICIALISTA (2)",91,93,97
"UNIÓN CÍVICA RADICAL (3)",52,51,51
"MOVIMIENTO SIEMPRE CORRIENTES (4)",0,0,0
"DEMÓCRATA CRISTIANO (5)",0,0,0
"DE LA CONCERTACIÓN - FORJA (7)",0,0,0
"FEDERAL (8)",4,4,-
"DEMÓCRATA PROGRESISTA (9)",4,5,5
"RENOVADOR FEDERAL (10)",0,0,0
"LADRILLEROS UNIDOS (11)",1,1,1
"COMUNISTA (12)",0,0,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0
"ACCIÓN POR CORRIENTES (14)",24,24,24
"UNIDOS POR CORRIENTES (15)",1,1,1
"LABORISTA AUTÓNOMO (17)",4,4,4
"ELI - ENCUENTRO LIBERAL (18)",43,41,37
"CAMBIO POPULAR (19)",1,1,1
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",5,5,-
"CONVOCATORIA POPULAR (21)",0,0,-
"FE (23)",0,0,0
"NUESTRA CAUSA (24)",3,3,3
"UNION POPULAR (25)",1,1,1
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,1,1
"ENCUENTRO CORRELIGIONARIO (27)",12,11,11
"CAMBIO AUSTERIDAD Y PROGRESO (28)",0,0,0
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0
"CIUDADANOS A GOBERNAR (30)",0,0,0
"CONSERVADOR POPULAR (31)",0,0,0
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",2,2,2
"NUEVO PAIS (33)",0,0,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",0,0,0
"TERCERA POSICIÓN (35)",0,0,0
"UNIÓN CORRENTINA (37)",2,2,2
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",0,0,0
"UNIÓN PARA EL DESARROLLO (42)",0,0,0
"NORTE GRANDE (43)",1,1,1
"ACCIÓN POR LA REPÚBLICA (44)",0,0,0
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",1,1,1
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",2,2,2
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",1,1,1
"LIBERAL (51)",14,14,14
"AUTONOMISTA (52)",11,11,12
"DE LA VICTORIA (54)",1,1,1
"PROYECTO CORRIENTES (57)",0,0,-
"PRO - PROPUESTA REPUBLICANA (64)",0,0,0
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2
"NUEVO (90)",22,22,23
"POPULAR CORRENTINO (169)",18,18,18
"CRECER CON TODOS (170)",0,0,0
"UNIÓN CELESTE Y BLANCO (173)",0,0,-
"COMPROMISO CORRENTINO (175)",2,2,-
"KOLINA (192)",3,3,3
"Votos en Blanco",9,10,19
"Votos Nulos",2,2,2
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
