partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",8,8,8,8,7
"JUSTICIALISTA (2)",33,33,36,-,-
"UNIÓN CÍVICA RADICAL (3)",98,97,96,97,100
"MOVIMIENTO SIEMPRE CORRIENTES (4)",22,22,22,23,23
"DEMÓCRATA CRISTIANO (5)",1,1,1,-,-
"DE LA CONCERTACIÓN - FORJA (7)",3,3,3,4,4
"FEDERAL (8)",0,0,-,-,-
"DEMÓCRATA PROGRESISTA (9)",4,4,4,4,4
"RENOVADOR FEDERAL (10)",3,3,3,-,-
"LADRILLEROS UNIDOS (11)",6,6,6,6,6
"COMUNISTA (12)",1,1,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",1,1,1,-,-
"ACCIÓN POR CORRIENTES (14)",5,5,5,5,5
"UNIDOS POR CORRIENTES (15)",40,41,41,21,22
"LABORISTA AUTÓNOMO (17)",18,18,18,18,17
"ELI - ENCUENTRO LIBERAL (18)",98,98,98,101,106
"CAMBIO POPULAR (19)",2,2,2,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,1,-,-,-
"CONVOCATORIA POPULAR (21)",1,1,-,-,-
"FE (23)",0,0,0,-,-
"NUESTRA CAUSA (24)",4,4,4,-,-
"UNION POPULAR (25)",292,291,291,331,328
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,-
"ENCUENTRO CORRELIGIONARIO (27)",25,25,25,26,26
"CAMBIO AUSTERIDAD Y PROGRESO (28)",144,140,140,154,149
"DEL TRABAJO Y DEL PUEBLO (29)",1,1,1,-,-
"CIUDADANOS A GOBERNAR (30)",18,18,18,19,18
"CONSERVADOR POPULAR (31)",15,14,14,18,18
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",931,925,922,981,949
"NUEVO PAIS (33)",0,0,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",6,6,6,6,6
"TERCERA POSICIÓN (35)",6,5,5,-,-
"UNIÓN CORRENTINA (37)",7,6,6,7,7
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",10,9,9,9,10
"UNIÓN PARA EL DESARROLLO (42)",7,7,7,7,7
"NORTE GRANDE (43)",0,0,0,-,-
"ACCIÓN POR LA REPÚBLICA (44)",25,25,25,25,23
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",5,5,5,5,4
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",4,4,4,4,4
"PARTIDO AGRARIO Y SOCIAL (49)",1,1,-,-,-
"SOCIALISTA (50)",7,7,7,7,6
"LIBERAL (51)",91,91,92,82,78
"AUTONOMISTA (52)",39,39,39,39,39
"DE LA VICTORIA (54)",7,7,7,-,-
"PROYECTO CORRIENTES (57)",2,2,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",13,12,12,12,13
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,-,-
"NUEVO (90)",25,25,28,26,27
"POPULAR CORRENTINO (169)",32,31,30,28,40
"CRECER CON TODOS (170)",11,10,10,10,9
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,-,-
"COMPROMISO CORRENTINO (175)",0,0,-,-,-
"KOLINA (192)",1,1,1,-,-
"Votos en Blanco",50,68,72,43,69
"Votos Nulos",6,6,6,6,7
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
