partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",86,82,81,73,73
"JUSTICIALISTA (2)",70,64,237,86,74
"UNIÓN CÍVICA RADICAL (3)",486,469,466,359,345
"MOVIMIENTO SIEMPRE CORRIENTES (4)",27,25,25,25,25
"DEMÓCRATA CRISTIANO (5)",14,16,15,18,18
"DE LA CONCERTACIÓN - FORJA (7)",20,16,16,15,15
"FEDERAL (8)",33,34,-,39,38
"DEMÓCRATA PROGRESISTA (9)",23,20,21,18,18
"RENOVADOR FEDERAL (10)",22,23,24,29,26
"LADRILLEROS UNIDOS (11)",34,30,29,28,27
"COMUNISTA (12)",10,8,-,12,19
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",14,13,12,13,13
"ACCIÓN POR CORRIENTES (14)",26,25,25,22,21
"UNIDOS POR CORRIENTES (15)",26,24,24,23,24
"LABORISTA AUTÓNOMO (17)",23,20,19,20,20
"ELI - ENCUENTRO LIBERAL (18)",46,51,52,44,51
"CAMBIO POPULAR (19)",7,6,6,10,7
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",7,8,-,10,8
"CONVOCATORIA POPULAR (21)",6,6,-,4,-
"FE (23)",6,4,4,6,-
"NUESTRA CAUSA (24)",4,3,3,3,3
"UNION POPULAR (25)",68,65,63,62,64
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",24,25,26,32,32
"ENCUENTRO CORRELIGIONARIO (27)",34,32,32,31,31
"CAMBIO AUSTERIDAD Y PROGRESO (28)",9,8,8,8,8
"DEL TRABAJO Y DEL PUEBLO (29)",12,13,13,19,16
"CIUDADANOS A GOBERNAR (30)",45,43,42,40,41
"CONSERVADOR POPULAR (31)",15,13,13,14,15
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",33,30,29,24,26
"NUEVO PAIS (33)",26,25,-,36,33
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",17,16,16,16,16
"TERCERA POSICIÓN (35)",5,4,5,5,-
"UNIÓN CORRENTINA (37)",22,21,21,19,19
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",21,19,19,17,17
"UNIÓN PARA EL DESARROLLO (42)",14,15,15,15,15
"NORTE GRANDE (43)",12,10,10,10,10
"ACCIÓN POR LA REPÚBLICA (44)",16,16,16,15,15
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",16,16,-,19,19
"VAMOS CORRIENTES (46)",27,24,24,26,22
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",77,78,75,73,76
"PARTIDO AGRARIO Y SOCIAL (49)",9,9,-,13,11
"SOCIALISTA (50)",17,17,17,16,16
"LIBERAL (51)",64,58,58,51,52
"AUTONOMISTA (52)",58,58,60,50,54
"DE LA VICTORIA (54)",14,13,14,16,15
"PROYECTO CORRIENTES (57)",50,50,-,75,66
"PRO - PROPUESTA REPUBLICANA (64)",68,66,67,59,58
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",9,9,9,14,12
"NUEVO (90)",36,34,35,32,37
"POPULAR CORRENTINO (169)",101,97,97,92,90
"CRECER CON TODOS (170)",25,25,25,19,19
"UNIÓN CELESTE Y BLANCO (173)",14,13,-,19,18
"COMPROMISO CORRENTINO (175)",11,11,-,14,15
"KOLINA (192)",17,17,19,22,12
"INTEGRACIÓN CORRENTINA (36)",-,-,-,86,84
"NUEVA CORRIENTES (41)",-,-,-,5,4
"Votos en Blanco",72,158,168,135,191
"Votos Nulos",46,39,39,38,40
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
