partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",6,4,5,7,5
"JUSTICIALISTA (2)",23,18,26,8,5
"UNIÓN CÍVICA RADICAL (3)",472,469,470,477,411
"MOVIMIENTO SIEMPRE CORRIENTES (4)",6,6,6,6,6
"DEMÓCRATA CRISTIANO (5)",0,0,0,0,0
"DE LA CONCERTACIÓN - FORJA (7)",5,5,5,5,4
"FEDERAL (8)",2,2,-,2,2
"DEMÓCRATA PROGRESISTA (9)",3,3,3,4,2
"RENOVADOR FEDERAL (10)",1,1,1,1,0
"LADRILLEROS UNIDOS (11)",5,5,5,6,4
"COMUNISTA (12)",0,0,-,0,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",2,2,2,2,1
"ACCIÓN POR CORRIENTES (14)",5,5,5,3,3
"UNIDOS POR CORRIENTES (15)",8,8,8,8,8
"LABORISTA AUTÓNOMO (17)",3,3,3,3,3
"ELI - ENCUENTRO LIBERAL (18)",85,85,83,85,101
"CAMBIO POPULAR (19)",1,1,1,1,1
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,-,-
"CONVOCATORIA POPULAR (21)",0,0,-,0,0
"FE (23)",2,1,1,0,0
"NUESTRA CAUSA (24)",0,0,0,0,0
"UNION POPULAR (25)",164,165,168,176,126
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,0,0
"ENCUENTRO CORRELIGIONARIO (27)",13,13,13,13,12
"CAMBIO AUSTERIDAD Y PROGRESO (28)",64,63,63,69,299
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,0,0
"CIUDADANOS A GOBERNAR (30)",6,6,6,6,6
"CONSERVADOR POPULAR (31)",4,4,3,3,4
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0,0,0
"NUEVO PAIS (33)",0,0,-,0,0
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",3,4,4,4,6
"TERCERA POSICIÓN (35)",2,2,2,1,1
"UNIÓN CORRENTINA (37)",9,9,9,14,13
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",6,6,6,-,8
"UNIÓN PARA EL DESARROLLO (42)",1,1,1,1,1
"NORTE GRANDE (43)",16,16,17,20,19
"ACCIÓN POR LA REPÚBLICA (44)",1,0,0,1,0
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",1,1,1,1,1
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",1,1,1,1,1
"PARTIDO AGRARIO Y SOCIAL (49)",7,7,-,-,-
"SOCIALISTA (50)",14,13,13,13,10
"LIBERAL (51)",86,85,84,85,72
"AUTONOMISTA (52)",13,13,32,6,5
"DE LA VICTORIA (54)",2,2,2,1,1
"PROYECTO CORRIENTES (57)",1,0,-,0,0
"PRO - PROPUESTA REPUBLICANA (64)",21,20,20,20,19
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",3,3,3,3,3
"NUEVO (90)",315,315,316,328,317
"POPULAR CORRENTINO (169)",165,162,149,160,60
"CRECER CON TODOS (170)",1,1,1,1,1
"UNIÓN CELESTE Y BLANCO (173)",2,2,-,1,0
"COMPROMISO CORRENTINO (175)",0,0,-,0,0
"KOLINA (192)",0,0,0,1,0
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",30,47,40,32,33
"Votos Nulos",4,4,5,6,10
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
