partido,gobernador,senadores,diputados,intendente,concejales,convencionales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",1,1,1,1,1,1
"JUSTICIALISTA (2)",17,17,21,18,18,18
"UNIÓN CÍVICA RADICAL (3)",7,7,7,10,11,11
"MOVIMIENTO SIEMPRE CORRIENTES (4)",0,0,0,0,0,0
"DEMÓCRATA CRISTIANO (5)",1,1,1,2,2,2
"DE LA CONCERTACIÓN - FORJA (7)",1,1,1,1,1,1
"FEDERAL (8)",0,0,-,0,0,0
"DEMÓCRATA PROGRESISTA (9)",0,0,0,0,0,0
"RENOVADOR FEDERAL (10)",0,0,0,0,0,0
"LADRILLEROS UNIDOS (11)",7,7,7,7,7,7
"COMUNISTA (12)",0,0,-,0,0,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,1,1,1
"ACCIÓN POR CORRIENTES (14)",0,0,0,0,0,0
"UNIDOS POR CORRIENTES (15)",6,6,6,-,-,-
"LABORISTA AUTÓNOMO (17)",1,0,0,1,0,0
"ELI - ENCUENTRO LIBERAL (18)",0,0,0,0,0,0
"CAMBIO POPULAR (19)",0,0,0,17,17,17
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0,0
"CONVOCATORIA POPULAR (21)",0,0,-,7,7,7
"FE (23)",0,0,0,-,0,0
"NUESTRA CAUSA (24)",2,2,2,2,2,2
"UNION POPULAR (25)",0,0,0,1,1,1
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,0,0
"ENCUENTRO CORRELIGIONARIO (27)",7,7,7,7,7,7
"CAMBIO AUSTERIDAD Y PROGRESO (28)",5,5,5,-,-,-
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,0,0,0
"CIUDADANOS A GOBERNAR (30)",0,0,0,0,0,0
"CONSERVADOR POPULAR (31)",0,0,0,0,0,0
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",0,0,0,0,0,0
"NUEVO PAIS (33)",1,1,-,1,1,1
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",2,2,2,2,2,2
"TERCERA POSICIÓN (35)",3,3,3,5,5,5
"UNIÓN CORRENTINA (37)",1,1,1,0,0,0
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",3,3,3,-,-,-
"UNIÓN PARA EL DESARROLLO (42)",1,1,1,1,1,1
"NORTE GRANDE (43)",1,1,1,1,1,1
"ACCIÓN POR LA REPÚBLICA (44)",2,2,2,2,2,2
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-,-
"VAMOS CORRIENTES (46)",6,6,6,6,6,6
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",1,1,1,1,1,1
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-,-,-,-
"SOCIALISTA (50)",0,0,0,0,0,0
"LIBERAL (51)",0,0,0,0,0,0
"AUTONOMISTA (52)",48,48,48,48,48,45
"DE LA VICTORIA (54)",0,0,0,0,0,0
"PROYECTO CORRIENTES (57)",3,3,-,3,3,3
"PRO - PROPUESTA REPUBLICANA (64)",5,5,5,5,5,5
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,8,8,8
"NUEVO (90)",104,104,104,105,105,105
"POPULAR CORRENTINO (169)",26,26,26,2,1,1
"CRECER CON TODOS (170)",0,0,0,0,0,0
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,0,0,0
"COMPROMISO CORRENTINO (175)",0,0,-,0,0,0
"KOLINA (192)",2,2,2,2,2,2
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,2,2,2
"Votos en Blanco",6,7,7,2,3,6
"Votos Nulos",0,0,0,0,0,0
"Votos Recurridos",0,0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-,-
