partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",86,81,80,76,76
"JUSTICIALISTA (2)",87,86,157,105,99
"UNIÓN CÍVICA RADICAL (3)",415,394,400,322,317
"MOVIMIENTO SIEMPRE CORRIENTES (4)",50,47,47,43,42
"DEMÓCRATA CRISTIANO (5)",26,26,29,32,32
"DE LA CONCERTACIÓN - FORJA (7)",57,51,50,47,47
"FEDERAL (8)",11,11,-,14,14
"DEMÓCRATA PROGRESISTA (9)",41,39,39,37,42
"RENOVADOR FEDERAL (10)",34,39,42,51,42
"LADRILLEROS UNIDOS (11)",20,19,19,17,17
"COMUNISTA (12)",11,11,-,14,23
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",19,19,19,12,11
"ACCIÓN POR CORRIENTES (14)",13,12,12,13,12
"UNIDOS POR CORRIENTES (15)",16,17,17,17,17
"LABORISTA AUTÓNOMO (17)",29,25,23,20,22
"ELI - ENCUENTRO LIBERAL (18)",49,48,49,48,50
"CAMBIO POPULAR (19)",15,15,16,22,18
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",12,12,-,12,12
"CONVOCATORIA POPULAR (21)",3,3,-,6,-
"FE (23)",19,19,20,22,-
"NUESTRA CAUSA (24)",5,5,5,5,4
"UNION POPULAR (25)",45,38,36,37,37
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",16,16,17,19,19
"ENCUENTRO CORRELIGIONARIO (27)",31,31,30,30,30
"CAMBIO AUSTERIDAD Y PROGRESO (28)",13,13,13,13,13
"DEL TRABAJO Y DEL PUEBLO (29)",4,4,4,6,6
"CIUDADANOS A GOBERNAR (30)",22,21,21,19,19
"CONSERVADOR POPULAR (31)",14,14,13,12,12
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",33,33,35,28,29
"NUEVO PAIS (33)",16,16,-,24,21
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",10,9,8,8,8
"TERCERA POSICIÓN (35)",4,5,6,6,-
"UNIÓN CORRENTINA (37)",15,15,15,16,15
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",15,14,14,13,13
"UNIÓN PARA EL DESARROLLO (42)",15,14,14,14,14
"NORTE GRANDE (43)",27,25,25,23,23
"ACCIÓN POR LA REPÚBLICA (44)",19,19,18,17,17
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",3,4,-,5,6
"VAMOS CORRIENTES (46)",24,23,23,23,23
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",80,75,72,68,71
"PARTIDO AGRARIO Y SOCIAL (49)",14,15,-,17,18
"SOCIALISTA (50)",10,7,7,8,8
"LIBERAL (51)",26,25,25,24,25
"AUTONOMISTA (52)",27,27,28,27,26
"DE LA VICTORIA (54)",7,6,6,5,6
"PROYECTO CORRIENTES (57)",9,7,-,16,15
"PRO - PROPUESTA REPUBLICANA (64)",28,27,28,26,27
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",17,16,10,14,14
"NUEVO (90)",21,20,18,17,16
"POPULAR CORRENTINO (169)",80,81,79,76,76
"CRECER CON TODOS (170)",5,5,5,5,5
"UNIÓN CELESTE Y BLANCO (173)",4,4,-,4,5
"COMPROMISO CORRENTINO (175)",10,10,-,12,12
"KOLINA (192)",4,2,3,3,3
"INTEGRACIÓN CORRENTINA (36)",-,-,-,50,50
"NUEVA CORRIENTES (41)",-,-,-,4,4
"Votos en Blanco",54,143,165,140,181
"Votos Nulos",44,20,22,20,20
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
