partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",28,26,26,28,28
"JUSTICIALISTA (2)",465,468,667,484,471
"UNIÓN CÍVICA RADICAL (3)",1366,1344,1338,1357,1333
"MOVIMIENTO SIEMPRE CORRIENTES (4)",15,13,13,13,13
"DEMÓCRATA CRISTIANO (5)",55,55,55,59,60
"DE LA CONCERTACIÓN - FORJA (7)",9,9,9,9,9
"FEDERAL (8)",43,45,-,46,50
"DEMÓCRATA PROGRESISTA (9)",17,17,15,15,15
"RENOVADOR FEDERAL (10)",21,21,22,20,20
"LADRILLEROS UNIDOS (11)",7,6,5,7,6
"COMUNISTA (12)",17,17,-,18,18
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",32,32,32,32,31
"ACCIÓN POR CORRIENTES (14)",13,13,12,12,11
"UNIDOS POR CORRIENTES (15)",13,13,13,13,12
"LABORISTA AUTÓNOMO (17)",3,3,3,3,3
"ELI - ENCUENTRO LIBERAL (18)",65,64,63,63,67
"CAMBIO POPULAR (19)",65,66,66,70,73
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",6,6,-,7,7
"CONVOCATORIA POPULAR (21)",17,17,-,17,17
"FE (23)",1,1,1,-,-
"NUESTRA CAUSA (24)",11,12,12,13,13
"UNION POPULAR (25)",21,21,21,21,21
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,0,0
"ENCUENTRO CORRELIGIONARIO (27)",17,17,17,16,16
"CAMBIO AUSTERIDAD Y PROGRESO (28)",13,13,13,13,12
"DEL TRABAJO Y DEL PUEBLO (29)",10,10,10,14,12
"CIUDADANOS A GOBERNAR (30)",16,15,15,15,15
"CONSERVADOR POPULAR (31)",7,7,7,7,7
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",4,4,4,4,4
"NUEVO PAIS (33)",4,4,-,4,4
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",13,12,12,12,12
"TERCERA POSICIÓN (35)",11,11,11,11,11
"UNIÓN CORRENTINA (37)",7,7,7,6,6
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",10,9,9,8,8
"UNIÓN PARA EL DESARROLLO (42)",13,13,13,14,14
"NORTE GRANDE (43)",6,6,6,6,6
"ACCIÓN POR LA REPÚBLICA (44)",14,12,12,13,10
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,-
"VAMOS CORRIENTES (46)",4,4,4,4,4
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",17,17,14,17,17
"PARTIDO AGRARIO Y SOCIAL (49)",43,41,-,55,52
"SOCIALISTA (50)",8,8,8,8,8
"LIBERAL (51)",71,70,70,73,85
"AUTONOMISTA (52)",58,57,69,56,54
"DE LA VICTORIA (54)",21,21,21,21,22
"PROYECTO CORRIENTES (57)",29,29,-,29,29
"PRO - PROPUESTA REPUBLICANA (64)",55,52,51,50,47
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",34,34,34,34,35
"NUEVO (90)",51,50,52,47,47
"POPULAR CORRENTINO (169)",88,83,85,73,71
"CRECER CON TODOS (170)",15,15,15,14,14
"UNIÓN CELESTE Y BLANCO (173)",30,31,-,32,29
"COMPROMISO CORRENTINO (175)",10,10,-,11,11
"KOLINA (192)",61,61,57,68,66
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,12,11
"Votos en Blanco",73,112,115,47,84
"Votos Nulos",19,18,18,21,21
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
