partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",30,30,30
"JUSTICIALISTA (2)",123,126,178
"UNIÓN CÍVICA RADICAL (3)",176,174,171
"MOVIMIENTO SIEMPRE CORRIENTES (4)",12,12,12
"DEMÓCRATA CRISTIANO (5)",10,10,10
"DE LA CONCERTACIÓN - FORJA (7)",15,14,14
"FEDERAL (8)",0,0,-
"DEMÓCRATA PROGRESISTA (9)",27,27,27
"RENOVADOR FEDERAL (10)",20,20,20
"LADRILLEROS UNIDOS (11)",3,3,3
"COMUNISTA (12)",13,13,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",6,6,6
"ACCIÓN POR CORRIENTES (14)",11,11,11
"UNIDOS POR CORRIENTES (15)",11,11,11
"LABORISTA AUTÓNOMO (17)",9,8,8
"ELI - ENCUENTRO LIBERAL (18)",58,54,54
"CAMBIO POPULAR (19)",14,14,14
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,1,-
"CONVOCATORIA POPULAR (21)",6,7,-
"FE (23)",1,1,1
"NUESTRA CAUSA (24)",2,2,2
"UNION POPULAR (25)",20,21,20
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",5,5,8
"ENCUENTRO CORRELIGIONARIO (27)",7,7,7
"CAMBIO AUSTERIDAD Y PROGRESO (28)",9,8,9
"DEL TRABAJO Y DEL PUEBLO (29)",6,6,6
"CIUDADANOS A GOBERNAR (30)",13,12,12
"CONSERVADOR POPULAR (31)",4,4,4
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",20,20,20
"NUEVO PAIS (33)",5,5,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",6,6,6
"TERCERA POSICIÓN (35)",0,0,0
"UNIÓN CORRENTINA (37)",7,7,7
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",6,6,6
"UNIÓN PARA EL DESARROLLO (42)",3,3,3
"NORTE GRANDE (43)",11,12,12
"ACCIÓN POR LA REPÚBLICA (44)",14,13,13
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",24,23,23
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",20,20,20
"PARTIDO AGRARIO Y SOCIAL (49)",9,8,-
"SOCIALISTA (50)",27,27,27
"LIBERAL (51)",63,62,62
"AUTONOMISTA (52)",33,33,33
"DE LA VICTORIA (54)",32,31,32
"PROYECTO CORRIENTES (57)",8,8,-
"PRO - PROPUESTA REPUBLICANA (64)",14,13,13
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",8,8,8
"NUEVO (90)",25,25,25
"POPULAR CORRENTINO (169)",107,106,106
"CRECER CON TODOS (170)",5,5,5
"UNIÓN CELESTE Y BLANCO (173)",25,26,-
"COMPROMISO CORRENTINO (175)",4,4,-
"KOLINA (192)",18,18,18
"Votos en Blanco",30,49,68
"Votos Nulos",23,14,14
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
