partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",9,9,9
"JUSTICIALISTA (2)",264,268,360
"UNIÓN CÍVICA RADICAL (3)",180,176,178
"MOVIMIENTO SIEMPRE CORRIENTES (4)",1,1,1
"DEMÓCRATA CRISTIANO (5)",0,0,0
"DE LA CONCERTACIÓN - FORJA (7)",7,6,6
"FEDERAL (8)",8,8,-
"DEMÓCRATA PROGRESISTA (9)",5,5,5
"RENOVADOR FEDERAL (10)",0,0,0
"LADRILLEROS UNIDOS (11)",11,11,11
"COMUNISTA (12)",1,1,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",13,11,11
"ACCIÓN POR CORRIENTES (14)",81,81,81
"UNIDOS POR CORRIENTES (15)",8,8,8
"LABORISTA AUTÓNOMO (17)",8,8,8
"ELI - ENCUENTRO LIBERAL (18)",156,147,147
"CAMBIO POPULAR (19)",4,4,4
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",18,22,-
"CONVOCATORIA POPULAR (21)",3,3,-
"FE (23)",0,0,0
"NUESTRA CAUSA (24)",9,8,8
"UNION POPULAR (25)",0,0,0
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",14,14,14
"ENCUENTRO CORRELIGIONARIO (27)",27,28,27
"CAMBIO AUSTERIDAD Y PROGRESO (28)",7,7,7
"DEL TRABAJO Y DEL PUEBLO (29)",5,5,5
"CIUDADANOS A GOBERNAR (30)",3,3,3
"CONSERVADOR POPULAR (31)",0,0,0
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",11,11,12
"NUEVO PAIS (33)",7,7,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",6,6,6
"TERCERA POSICIÓN (35)",1,1,1
"UNIÓN CORRENTINA (37)",5,5,5
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",5,4,4
"UNIÓN PARA EL DESARROLLO (42)",1,1,1
"NORTE GRANDE (43)",18,18,18
"ACCIÓN POR LA REPÚBLICA (44)",12,12,12
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",8,8,8
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",8,8,8
"PARTIDO AGRARIO Y SOCIAL (49)",7,7,-
"SOCIALISTA (50)",9,8,8
"LIBERAL (51)",59,57,56
"AUTONOMISTA (52)",53,51,53
"DE LA VICTORIA (54)",3,3,3
"PROYECTO CORRIENTES (57)",26,25,-
"PRO - PROPUESTA REPUBLICANA (64)",45,39,37
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,4,4
"NUEVO (90)",48,46,47
"POPULAR CORRENTINO (169)",78,77,79
"CRECER CON TODOS (170)",8,8,8
"UNIÓN CELESTE Y BLANCO (173)",9,9,-
"COMPROMISO CORRENTINO (175)",6,6,-
"KOLINA (192)",5,5,5
"Votos en Blanco",22,54,46
"Votos Nulos",16,8,8
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
