partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",122,117,117
"JUSTICIALISTA (2)",102,103,170
"UNIÓN CÍVICA RADICAL (3)",400,386,384
"MOVIMIENTO SIEMPRE CORRIENTES (4)",11,11,11
"DEMÓCRATA CRISTIANO (5)",53,56,56
"DE LA CONCERTACIÓN - FORJA (7)",10,10,10
"FEDERAL (8)",15,15,-
"DEMÓCRATA PROGRESISTA (9)",19,18,18
"RENOVADOR FEDERAL (10)",6,6,6
"LADRILLEROS UNIDOS (11)",11,10,10
"COMUNISTA (12)",9,9,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",17,16,15
"ACCIÓN POR CORRIENTES (14)",4,4,4
"UNIDOS POR CORRIENTES (15)",4,4,4
"LABORISTA AUTÓNOMO (17)",11,11,11
"ELI - ENCUENTRO LIBERAL (18)",73,71,71
"CAMBIO POPULAR (19)",4,4,4
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",15,15,-
"FE (23)",5,5,5
"NUESTRA CAUSA (24)",9,9,9
"UNION POPULAR (25)",23,21,21
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",5,5,5
"ENCUENTRO CORRELIGIONARIO (27)",26,24,24
"CAMBIO AUSTERIDAD Y PROGRESO (28)",23,23,23
"DEL TRABAJO Y DEL PUEBLO (29)",3,3,3
"CIUDADANOS A GOBERNAR (30)",10,8,8
"CONSERVADOR POPULAR (31)",10,10,10
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",9,9,8
"NUEVO PAIS (33)",3,3,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",7,7,7
"TERCERA POSICIÓN (35)",3,3,3
"UNIÓN CORRENTINA (37)",18,18,18
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",5,5,5
"UNIÓN PARA EL DESARROLLO (42)",25,22,22
"NORTE GRANDE (43)",19,19,19
"ACCIÓN POR LA REPÚBLICA (44)",13,13,13
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",483,475,475
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",21,18,18
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",11,10,10
"LIBERAL (51)",47,44,44
"AUTONOMISTA (52)",19,18,18
"DE LA VICTORIA (54)",32,32,32
"PROYECTO CORRIENTES (57)",22,22,-
"PRO - PROPUESTA REPUBLICANA (64)",74,74,72
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",8,8,9
"NUEVO (90)",34,33,34
"POPULAR CORRENTINO (169)",39,38,39
"CRECER CON TODOS (170)",19,18,18
"UNIÓN CELESTE Y BLANCO (173)",14,14,-
"COMPROMISO CORRENTINO (175)",15,14,-
"KOLINA (192)",26,26,26
"Votos en Blanco",41,176,204
"Votos Nulos",222,136,136
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
