partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",8,7,7
"JUSTICIALISTA (2)",51,53,56
"UNIÓN CÍVICA RADICAL (3)",20,18,19
"MOVIMIENTO SIEMPRE CORRIENTES (4)",0,0,0
"DEMÓCRATA CRISTIANO (5)",1,2,1
"DE LA CONCERTACIÓN - FORJA (7)",1,1,1
"FEDERAL (8)",0,0,-
"DEMÓCRATA PROGRESISTA (9)",4,3,2
"RENOVADOR FEDERAL (10)",1,1,1
"LADRILLEROS UNIDOS (11)",0,0,0
"COMUNISTA (12)",0,0,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",1,1,1
"ACCIÓN POR CORRIENTES (14)",0,0,0
"UNIDOS POR CORRIENTES (15)",1,1,1
"LABORISTA AUTÓNOMO (17)",1,1,1
"ELI - ENCUENTRO LIBERAL (18)",85,83,83
"CAMBIO POPULAR (19)",2,2,2
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",0,0,-
"FE (23)",0,0,0
"NUESTRA CAUSA (24)",0,0,0
"UNION POPULAR (25)",1,1,1
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0
"ENCUENTRO CORRELIGIONARIO (27)",0,0,0
"CAMBIO AUSTERIDAD Y PROGRESO (28)",3,3,3
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0
"CIUDADANOS A GOBERNAR (30)",0,0,0
"CONSERVADOR POPULAR (31)",0,0,0
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",4,4,4
"NUEVO PAIS (33)",0,0,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",0,0,0
"TERCERA POSICIÓN (35)",0,0,0
"UNIÓN CORRENTINA (37)",0,0,0
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",0,0,0
"UNIÓN PARA EL DESARROLLO (42)",0,0,0
"NORTE GRANDE (43)",1,1,1
"ACCIÓN POR LA REPÚBLICA (44)",1,1,1
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",1,1,1
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",0,0,0
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",1,1,1
"LIBERAL (51)",7,7,7
"AUTONOMISTA (52)",9,8,8
"DE LA VICTORIA (54)",0,1,1
"PROYECTO CORRIENTES (57)",1,1,-
"PRO - PROPUESTA REPUBLICANA (64)",3,3,3
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0
"NUEVO (90)",1,2,2
"POPULAR CORRENTINO (169)",11,11,11
"CRECER CON TODOS (170)",5,5,5
"UNIÓN CELESTE Y BLANCO (173)",1,1,-
"COMPROMISO CORRENTINO (175)",2,2,-
"KOLINA (192)",10,10,0
"Votos en Blanco",2,9,21
"Votos Nulos",5,0,0
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
