partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",146,146,146
"JUSTICIALISTA (2)",109,110,154
"UNIÓN CÍVICA RADICAL (3)",398,382,381
"MOVIMIENTO SIEMPRE CORRIENTES (4)",31,28,28
"DEMÓCRATA CRISTIANO (5)",74,74,74
"DE LA CONCERTACIÓN - FORJA (7)",13,13,13
"FEDERAL (8)",8,8,-
"DEMÓCRATA PROGRESISTA (9)",23,23,23
"RENOVADOR FEDERAL (10)",22,22,22
"LADRILLEROS UNIDOS (11)",15,13,13
"COMUNISTA (12)",10,11,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",22,23,22
"ACCIÓN POR CORRIENTES (14)",17,15,15
"UNIDOS POR CORRIENTES (15)",11,9,9
"LABORISTA AUTÓNOMO (17)",10,10,10
"ELI - ENCUENTRO LIBERAL (18)",100,100,100
"CAMBIO POPULAR (19)",10,10,10
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,1,-
"CONVOCATORIA POPULAR (21)",17,17,-
"FE (23)",7,8,8
"NUESTRA CAUSA (24)",6,5,5
"UNION POPULAR (25)",25,25,25
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",13,12,12
"ENCUENTRO CORRELIGIONARIO (27)",33,31,31
"CAMBIO AUSTERIDAD Y PROGRESO (28)",27,24,24
"DEL TRABAJO Y DEL PUEBLO (29)",4,4,4
"CIUDADANOS A GOBERNAR (30)",16,14,15
"CONSERVADOR POPULAR (31)",19,18,18
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",3,3,3
"NUEVO PAIS (33)",11,10,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",12,12,11
"TERCERA POSICIÓN (35)",11,11,11
"UNIÓN CORRENTINA (37)",26,24,24
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",9,9,9
"UNIÓN PARA EL DESARROLLO (42)",27,26,26
"NORTE GRANDE (43)",20,20,20
"ACCIÓN POR LA REPÚBLICA (44)",17,16,16
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",486,478,474
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",16,15,15
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",17,17,17
"LIBERAL (51)",43,42,42
"AUTONOMISTA (52)",21,19,19
"DE LA VICTORIA (54)",36,36,35
"PROYECTO CORRIENTES (57)",9,9,-
"PRO - PROPUESTA REPUBLICANA (64)",45,44,44
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1
"NUEVO (90)",45,40,41
"POPULAR CORRENTINO (169)",34,33,33
"CRECER CON TODOS (170)",15,13,13
"UNIÓN CELESTE Y BLANCO (173)",11,11,-
"COMPROMISO CORRENTINO (175)",12,12,-
"KOLINA (192)",11,11,10
"Votos en Blanco",34,91,133
"Votos Nulos",337,337,337
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
