partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",112,107,108
"JUSTICIALISTA (2)",84,83,161
"UNIÓN CÍVICA RADICAL (3)",378,370,367
"MOVIMIENTO SIEMPRE CORRIENTES (4)",15,14,14
"DEMÓCRATA CRISTIANO (5)",61,63,63
"DE LA CONCERTACIÓN - FORJA (7)",2,2,2
"FEDERAL (8)",8,8,-
"DEMÓCRATA PROGRESISTA (9)",17,17,17
"RENOVADOR FEDERAL (10)",2,2,2
"LADRILLEROS UNIDOS (11)",5,5,5
"COMUNISTA (12)",5,5,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",17,17,17
"ACCIÓN POR CORRIENTES (14)",8,8,8
"UNIDOS POR CORRIENTES (15)",6,6,6
"LABORISTA AUTÓNOMO (17)",9,9,9
"ELI - ENCUENTRO LIBERAL (18)",77,75,75
"CAMBIO POPULAR (19)",1,1,1
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",2,2,-
"CONVOCATORIA POPULAR (21)",9,9,-
"FE (23)",3,3,3
"NUESTRA CAUSA (24)",5,5,5
"UNION POPULAR (25)",26,24,24
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",5,5,5
"ENCUENTRO CORRELIGIONARIO (27)",35,34,34
"CAMBIO AUSTERIDAD Y PROGRESO (28)",14,13,13
"DEL TRABAJO Y DEL PUEBLO (29)",2,2,2
"CIUDADANOS A GOBERNAR (30)",6,6,6
"CONSERVADOR POPULAR (31)",8,8,8
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",11,11,11
"NUEVO PAIS (33)",7,6,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",7,6,6
"TERCERA POSICIÓN (35)",6,6,6
"UNIÓN CORRENTINA (37)",13,12,12
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",9,9,9
"UNIÓN PARA EL DESARROLLO (42)",23,23,23
"NORTE GRANDE (43)",11,11,11
"ACCIÓN POR LA REPÚBLICA (44)",22,19,18
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",10,10,-
"VAMOS CORRIENTES (46)",451,440,440
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",17,17,17
"PARTIDO AGRARIO Y SOCIAL (49)",3,2,-
"SOCIALISTA (50)",17,17,17
"LIBERAL (51)",60,60,60
"AUTONOMISTA (52)",18,17,18
"DE LA VICTORIA (54)",26,26,26
"PROYECTO CORRIENTES (57)",19,19,-
"PRO - PROPUESTA REPUBLICANA (64)",73,72,72
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",6,6,6
"NUEVO (90)",29,30,30
"POPULAR CORRENTINO (169)",33,32,32
"CRECER CON TODOS (170)",26,25,25
"UNIÓN CELESTE Y BLANCO (173)",11,13,-
"COMPROMISO CORRENTINO (175)",15,15,-
"KOLINA (192)",19,18,16
"Votos en Blanco",71,154,169
"Votos Nulos",208,164,164
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
