partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",56,56,56
"JUSTICIALISTA (2)",23,23,56
"UNIÓN CÍVICA RADICAL (3)",230,220,217
"MOVIMIENTO SIEMPRE CORRIENTES (4)",11,10,10
"DEMÓCRATA CRISTIANO (5)",36,36,36
"DE LA CONCERTACIÓN - FORJA (7)",0,0,0
"FEDERAL (8)",6,6,-
"DEMÓCRATA PROGRESISTA (9)",20,20,20
"RENOVADOR FEDERAL (10)",7,7,7
"LADRILLEROS UNIDOS (11)",6,6,6
"COMUNISTA (12)",4,4,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",11,11,11
"ACCIÓN POR CORRIENTES (14)",8,8,8
"UNIDOS POR CORRIENTES (15)",2,2,2
"LABORISTA AUTÓNOMO (17)",1,1,1
"ELI - ENCUENTRO LIBERAL (18)",54,52,51
"CAMBIO POPULAR (19)",6,6,6
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",6,6,-
"FE (23)",4,4,5
"NUESTRA CAUSA (24)",8,8,8
"UNION POPULAR (25)",18,17,17
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",12,12,13
"ENCUENTRO CORRELIGIONARIO (27)",37,37,36
"CAMBIO AUSTERIDAD Y PROGRESO (28)",8,8,8
"DEL TRABAJO Y DEL PUEBLO (29)",2,2,2
"CIUDADANOS A GOBERNAR (30)",10,9,9
"CONSERVADOR POPULAR (31)",1,1,1
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",7,6,6
"NUEVO PAIS (33)",5,6,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",8,8,8
"TERCERA POSICIÓN (35)",0,0,0
"UNIÓN CORRENTINA (37)",10,8,8
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",8,8,8
"UNIÓN PARA EL DESARROLLO (42)",9,9,9
"NORTE GRANDE (43)",12,12,12
"ACCIÓN POR LA REPÚBLICA (44)",6,5,5
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-
"VAMOS CORRIENTES (46)",286,278,278
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",10,8,8
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",13,13,13
"LIBERAL (51)",30,28,28
"AUTONOMISTA (52)",12,11,12
"DE LA VICTORIA (54)",17,18,18
"PROYECTO CORRIENTES (57)",9,9,-
"PRO - PROPUESTA REPUBLICANA (64)",51,49,49
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",5,5,5
"NUEVO (90)",18,17,17
"POPULAR CORRENTINO (169)",16,15,15
"CRECER CON TODOS (170)",22,22,22
"UNIÓN CELESTE Y BLANCO (173)",13,13,-
"COMPROMISO CORRENTINO (175)",12,12,-
"KOLINA (192)",14,14,14
"Votos en Blanco",45,116,142
"Votos Nulos",152,115,115
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
