partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",59,58,64,55,54
"JUSTICIALISTA (2)",167,171,536,193,185
"UNIÓN CÍVICA RADICAL (3)",751,721,700,629,626
"MOVIMIENTO SIEMPRE CORRIENTES (4)",25,24,24,21,22
"DEMÓCRATA CRISTIANO (5)",21,22,25,25,30
"DE LA CONCERTACIÓN - FORJA (7)",36,30,29,28,28
"FEDERAL (8)",26,26,-,30,30
"DEMÓCRATA PROGRESISTA (9)",20,17,17,17,19
"RENOVADOR FEDERAL (10)",58,58,60,69,65
"LADRILLEROS UNIDOS (11)",80,80,80,81,81
"COMUNISTA (12)",22,20,-,24,27
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",15,15,15,15,11
"ACCIÓN POR CORRIENTES (14)",33,31,30,29,29
"UNIDOS POR CORRIENTES (15)",40,38,38,35,34
"LABORISTA AUTÓNOMO (17)",27,26,25,23,23
"ELI - ENCUENTRO LIBERAL (18)",68,61,62,58,57
"CAMBIO POPULAR (19)",20,18,18,22,21
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",21,21,-,22,22
"CONVOCATORIA POPULAR (21)",6,5,-,5,-
"FE (23)",22,21,21,24,-
"NUESTRA CAUSA (24)",11,10,10,13,10
"UNION POPULAR (25)",140,137,137,137,140
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",26,25,26,34,33
"ENCUENTRO CORRELIGIONARIO (27)",37,36,35,33,32
"CAMBIO AUSTERIDAD Y PROGRESO (28)",11,9,9,8,8
"DEL TRABAJO Y DEL PUEBLO (29)",40,41,39,46,45
"CIUDADANOS A GOBERNAR (30)",50,47,46,42,45
"CONSERVADOR POPULAR (31)",32,28,28,29,28
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",24,22,22,20,20
"NUEVO PAIS (33)",50,51,-,64,61
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",39,36,35,36,34
"TERCERA POSICIÓN (35)",6,6,6,7,-
"UNIÓN CORRENTINA (37)",54,50,49,50,51
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",73,64,66,55,53
"UNIÓN PARA EL DESARROLLO (42)",28,32,27,24,25
"NORTE GRANDE (43)",34,32,33,33,33
"ACCIÓN POR LA REPÚBLICA (44)",53,51,49,47,47
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",21,22,-,31,28
"VAMOS CORRIENTES (46)",57,57,55,49,50
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",347,329,328,321,322
"PARTIDO AGRARIO Y SOCIAL (49)",77,79,-,91,91
"SOCIALISTA (50)",31,28,28,26,26
"LIBERAL (51)",107,104,103,99,99
"AUTONOMISTA (52)",93,88,86,78,78
"DE LA VICTORIA (54)",53,53,53,60,58
"PROYECTO CORRIENTES (57)",78,78,-,104,96
"PRO - PROPUESTA REPUBLICANA (64)",74,72,71,63,63
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",16,17,17,29,26
"NUEVO (90)",104,103,100,95,99
"POPULAR CORRENTINO (169)",302,294,294,281,280
"CRECER CON TODOS (170)",60,59,57,52,53
"UNIÓN CELESTE Y BLANCO (173)",49,50,-,61,58
"COMPROMISO CORRENTINO (175)",33,35,-,47,43
"KOLINA (192)",34,33,34,41,37
"INTEGRACIÓN CORRENTINA (36)",-,-,-,55,56
"NUEVA CORRIENTES (41)",-,-,-,13,13
"Votos en Blanco",122,256,306,219,288
"Votos Nulos",127,111,115,110,115
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
