partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",123,120,119
"JUSTICIALISTA (2)",60,60,108
"UNIÓN CÍVICA RADICAL (3)",284,275,275
"MOVIMIENTO SIEMPRE CORRIENTES (4)",38,38,38
"DEMÓCRATA CRISTIANO (5)",13,14,14
"DE LA CONCERTACIÓN - FORJA (7)",116,113,113
"FEDERAL (8)",14,14,-
"DEMÓCRATA PROGRESISTA (9)",88,87,87
"RENOVADOR FEDERAL (10)",22,23,27
"LADRILLEROS UNIDOS (11)",34,34,34
"COMUNISTA (12)",5,5,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",9,9,9
"ACCIÓN POR CORRIENTES (14)",28,26,26
"UNIDOS POR CORRIENTES (15)",43,41,41
"LABORISTA AUTÓNOMO (17)",53,50,50
"ELI - ENCUENTRO LIBERAL (18)",61,60,59
"CAMBIO POPULAR (19)",11,11,12
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",5,5,-
"FE (23)",13,13,12
"NUESTRA CAUSA (24)",5,5,5
"UNION POPULAR (25)",102,98,98
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",18,18,18
"ENCUENTRO CORRELIGIONARIO (27)",102,99,99
"CAMBIO AUSTERIDAD Y PROGRESO (28)",35,32,32
"DEL TRABAJO Y DEL PUEBLO (29)",24,24,24
"CIUDADANOS A GOBERNAR (30)",101,100,99
"CONSERVADOR POPULAR (31)",34,34,34
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",58,57,57
"NUEVO PAIS (33)",29,29,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",23,23,23
"TERCERA POSICIÓN (35)",10,10,10
"UNIÓN CORRENTINA (37)",26,25,26
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",21,21,21
"UNIÓN PARA EL DESARROLLO (42)",53,52,52
"NORTE GRANDE (43)",33,33,34
"ACCIÓN POR LA REPÚBLICA (44)",88,84,84
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-
"VAMOS CORRIENTES (46)",97,95,105
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",49,49,49
"PARTIDO AGRARIO Y SOCIAL (49)",14,14,-
"SOCIALISTA (50)",17,16,16
"LIBERAL (51)",45,44,43
"AUTONOMISTA (52)",48,46,47
"DE LA VICTORIA (54)",9,9,9
"PROYECTO CORRIENTES (57)",7,7,-
"PRO - PROPUESTA REPUBLICANA (64)",123,121,118
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,4,4
"NUEVO (90)",28,28,28
"POPULAR CORRENTINO (169)",80,78,78
"CRECER CON TODOS (170)",43,42,42
"UNIÓN CELESTE Y BLANCO (173)",22,22,-
"COMPROMISO CORRENTINO (175)",26,23,-
"KOLINA (192)",34,34,34
"Votos en Blanco",53,111,166
"Votos Nulos",37,34,40
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
