partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",4,4,4
"JUSTICIALISTA (2)",270,269,334
"UNIÓN CÍVICA RADICAL (3)",117,117,117
"MOVIMIENTO SIEMPRE CORRIENTES (4)",2,2,2
"DEMÓCRATA CRISTIANO (5)",4,4,4
"DE LA CONCERTACIÓN - FORJA (7)",2,2,2
"FEDERAL (8)",0,0,-
"DEMÓCRATA PROGRESISTA (9)",8,8,8
"RENOVADOR FEDERAL (10)",26,26,25
"LADRILLEROS UNIDOS (11)",1,1,1
"COMUNISTA (12)",3,3,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",61,61,61
"ACCIÓN POR CORRIENTES (14)",30,30,30
"UNIDOS POR CORRIENTES (15)",3,3,3
"LABORISTA AUTÓNOMO (17)",31,30,30
"ELI - ENCUENTRO LIBERAL (18)",136,136,136
"CAMBIO POPULAR (19)",5,5,2
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",7,7,-
"CONVOCATORIA POPULAR (21)",34,34,-
"FE (23)",2,2,2
"NUESTRA CAUSA (24)",3,3,3
"UNION POPULAR (25)",67,67,67
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0
"ENCUENTRO CORRELIGIONARIO (27)",2,2,2
"CAMBIO AUSTERIDAD Y PROGRESO (28)",1,1,1
"DEL TRABAJO Y DEL PUEBLO (29)",4,4,4
"CIUDADANOS A GOBERNAR (30)",19,20,20
"CONSERVADOR POPULAR (31)",5,5,5
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",3,3,3
"NUEVO PAIS (33)",2,2,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",2,2,2
"TERCERA POSICIÓN (35)",10,10,10
"UNIÓN CORRENTINA (37)",0,0,0
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",2,2,2
"UNIÓN PARA EL DESARROLLO (42)",1,1,1
"NORTE GRANDE (43)",4,4,4
"ACCIÓN POR LA REPÚBLICA (44)",3,3,3
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",5,5,-
"VAMOS CORRIENTES (46)",116,116,116
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",4,4,4
"PARTIDO AGRARIO Y SOCIAL (49)",7,7,-
"SOCIALISTA (50)",3,3,3
"LIBERAL (51)",75,74,74
"AUTONOMISTA (52)",1,1,1
"DE LA VICTORIA (54)",5,5,5
"PROYECTO CORRIENTES (57)",10,10,-
"PRO - PROPUESTA REPUBLICANA (64)",1,1,1
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2
"NUEVO (90)",45,45,45
"POPULAR CORRENTINO (169)",51,50,50
"CRECER CON TODOS (170)",7,7,7
"UNIÓN CELESTE Y BLANCO (173)",8,8,-
"COMPROMISO CORRENTINO (175)",0,0,-
"KOLINA (192)",3,3,3
"Votos en Blanco",32,36,50
"Votos Nulos",3,2,3
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
