partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",31,28,28,27,27
"JUSTICIALISTA (2)",80,82,240,90,86
"UNIÓN CÍVICA RADICAL (3)",407,395,384,318,321
"MOVIMIENTO SIEMPRE CORRIENTES (4)",38,34,34,30,30
"DEMÓCRATA CRISTIANO (5)",29,30,30,35,33
"DE LA CONCERTACIÓN - FORJA (7)",12,12,12,11,11
"FEDERAL (8)",15,15,-,22,17
"DEMÓCRATA PROGRESISTA (9)",34,32,29,25,26
"RENOVADOR FEDERAL (10)",32,31,32,35,33
"LADRILLEROS UNIDOS (11)",72,65,65,61,61
"COMUNISTA (12)",13,12,-,17,27
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",8,8,8,4,4
"ACCIÓN POR CORRIENTES (14)",21,20,19,19,19
"UNIDOS POR CORRIENTES (15)",24,22,22,23,20
"LABORISTA AUTÓNOMO (17)",31,31,31,28,28
"ELI - ENCUENTRO LIBERAL (18)",100,94,94,87,88
"CAMBIO POPULAR (19)",12,11,12,13,14
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",6,6,-,16,13
"CONVOCATORIA POPULAR (21)",16,17,-,22,-
"FE (23)",10,10,11,12,-
"NUESTRA CAUSA (24)",8,9,7,10,10
"UNION POPULAR (25)",81,75,75,71,75
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",14,13,13,17,14
"ENCUENTRO CORRELIGIONARIO (27)",45,44,41,41,39
"CAMBIO AUSTERIDAD Y PROGRESO (28)",12,10,10,8,8
"DEL TRABAJO Y DEL PUEBLO (29)",15,14,14,20,19
"CIUDADANOS A GOBERNAR (30)",30,28,28,27,26
"CONSERVADOR POPULAR (31)",11,11,11,11,10
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",35,34,34,32,33
"NUEVO PAIS (33)",26,27,-,36,33
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",14,13,13,12,12
"TERCERA POSICIÓN (35)",1,2,2,3,-
"UNIÓN CORRENTINA (37)",10,9,9,7,7
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",9,9,9,8,8
"UNIÓN PARA EL DESARROLLO (42)",14,14,14,12,12
"NORTE GRANDE (43)",26,23,23,22,21
"ACCIÓN POR LA REPÚBLICA (44)",13,13,13,12,12
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",32,30,-,39,36
"VAMOS CORRIENTES (46)",60,57,57,51,50
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",273,264,263,252,253
"PARTIDO AGRARIO Y SOCIAL (49)",19,18,-,27,27
"SOCIALISTA (50)",18,18,18,18,18
"LIBERAL (51)",38,35,38,35,32
"AUTONOMISTA (52)",49,47,46,42,41
"DE LA VICTORIA (54)",28,29,30,37,34
"PROYECTO CORRIENTES (57)",27,28,-,43,43
"PRO - PROPUESTA REPUBLICANA (64)",49,49,47,44,43
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",11,12,12,20,17
"NUEVO (90)",35,32,30,23,23
"POPULAR CORRENTINO (169)",110,104,103,98,100
"CRECER CON TODOS (170)",20,17,17,17,16
"UNIÓN CELESTE Y BLANCO (173)",14,14,-,22,19
"COMPROMISO CORRENTINO (175)",11,11,-,16,17
"KOLINA (192)",9,9,8,12,10
"INTEGRACIÓN CORRENTINA (36)",-,-,-,43,42
"NUEVA CORRIENTES (41)",-,-,-,12,11
"Votos en Blanco",60,165,206,147,211
"Votos Nulos",71,47,47,47,49
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
