partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",8,8,8,8,8
"JUSTICIALISTA (2)",83,85,118,83,83
"UNIÓN CÍVICA RADICAL (3)",964,966,966,971,961
"MOVIMIENTO SIEMPRE CORRIENTES (4)",9,8,7,7,7
"DEMÓCRATA CRISTIANO (5)",3,3,3,3,3
"DE LA CONCERTACIÓN - FORJA (7)",4,4,4,5,4
"FEDERAL (8)",6,6,-,6,6
"DEMÓCRATA PROGRESISTA (9)",1,1,1,1,1
"RENOVADOR FEDERAL (10)",3,2,2,2,2
"LADRILLEROS UNIDOS (11)",2,2,2,2,2
"COMUNISTA (12)",2,2,-,2,2
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",14,14,14,15,15
"ACCIÓN POR CORRIENTES (14)",5,5,5,6,6
"UNIDOS POR CORRIENTES (15)",5,5,5,5,5
"LABORISTA AUTÓNOMO (17)",8,8,8,9,9
"ELI - ENCUENTRO LIBERAL (18)",79,80,80,106,103
"CAMBIO POPULAR (19)",2,2,2,2,2
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",2,2,-,1,1
"CONVOCATORIA POPULAR (21)",1,1,-,1,1
"FE (23)",1,1,1,1,1
"NUESTRA CAUSA (24)",27,25,25,27,26
"UNION POPULAR (25)",5,5,5,5,5
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",1,1,1,1,1
"ENCUENTRO CORRELIGIONARIO (27)",6,6,6,7,6
"CAMBIO AUSTERIDAD Y PROGRESO (28)",5,5,5,3,2
"DEL TRABAJO Y DEL PUEBLO (29)",2,2,2,2,2
"CIUDADANOS A GOBERNAR (30)",2,2,2,3,3
"CONSERVADOR POPULAR (31)",8,8,8,7,7
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",2,2,2,2,2
"NUEVO PAIS (33)",4,4,-,4,4
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",3,3,3,3,3
"TERCERA POSICIÓN (35)",19,19,19,20,21
"UNIÓN CORRENTINA (37)",2,2,2,2,3
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",9,4,4,4,4
"UNIÓN PARA EL DESARROLLO (42)",3,3,3,3,3
"NORTE GRANDE (43)",3,3,3,3,3
"ACCIÓN POR LA REPÚBLICA (44)",8,7,6,6,6
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",4,4,4,4,5
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",2,2,2,2,2
"PARTIDO AGRARIO Y SOCIAL (49)",29,29,-,-,-
"SOCIALISTA (50)",4,4,4,5,5
"LIBERAL (51)",6,6,6,6,6
"AUTONOMISTA (52)",3,3,3,3,3
"DE LA VICTORIA (54)",9,9,9,9,10
"PROYECTO CORRIENTES (57)",1,1,-,1,1
"PRO - PROPUESTA REPUBLICANA (64)",3,3,3,3,3
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",0,0,0,0,2
"NUEVO (90)",0,0,0,-,-
"POPULAR CORRENTINO (169)",117,115,116,128,129
"CRECER CON TODOS (170)",11,10,10,10,10
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,0,0
"COMPROMISO CORRENTINO (175)",3,3,-,4,4
"KOLINA (192)",17,17,17,18,17
"Votos en Blanco",23,32,48,14,24
"Votos Nulos",3,2,2,2,2
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
