partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",48,45,44
"JUSTICIALISTA (2)",235,238,438
"UNIÓN CÍVICA RADICAL (3)",512,491,491
"MOVIMIENTO SIEMPRE CORRIENTES (4)",29,27,24
"DEMÓCRATA CRISTIANO (5)",20,19,13
"DE LA CONCERTACIÓN - FORJA (7)",19,19,12
"FEDERAL (8)",22,23,-
"DEMÓCRATA PROGRESISTA (9)",27,26,23
"RENOVADOR FEDERAL (10)",46,48,45
"LADRILLEROS UNIDOS (11)",21,20,21
"COMUNISTA (12)",24,24,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",12,11,12
"ACCIÓN POR CORRIENTES (14)",30,29,25
"UNIDOS POR CORRIENTES (15)",49,49,48
"LABORISTA AUTÓNOMO (17)",26,26,26
"ELI - ENCUENTRO LIBERAL (18)",77,74,75
"CAMBIO POPULAR (19)",16,16,12
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",11,11,-
"CONVOCATORIA POPULAR (21)",20,20,-
"FE (23)",7,8,7
"NUESTRA CAUSA (24)",14,13,13
"UNION POPULAR (25)",37,34,34
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",19,21,21
"ENCUENTRO CORRELIGIONARIO (27)",45,44,44
"CAMBIO AUSTERIDAD Y PROGRESO (28)",92,91,92
"DEL TRABAJO Y DEL PUEBLO (29)",12,13,13
"CIUDADANOS A GOBERNAR (30)",32,30,30
"CONSERVADOR POPULAR (31)",23,23,23
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",35,32,32
"NUEVO PAIS (33)",11,12,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",21,19,19
"TERCERA POSICIÓN (35)",12,13,13
"UNIÓN CORRENTINA (37)",17,16,16
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",16,16,16
"UNIÓN PARA EL DESARROLLO (42)",13,13,13
"NORTE GRANDE (43)",41,40,40
"ACCIÓN POR LA REPÚBLICA (44)",18,18,18
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",5,4,-
"VAMOS CORRIENTES (46)",57,54,56
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",22,22,21
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",23,23,23
"LIBERAL (51)",57,56,55
"AUTONOMISTA (52)",26,24,25
"DE LA VICTORIA (54)",39,39,39
"PROYECTO CORRIENTES (57)",21,21,-
"PRO - PROPUESTA REPUBLICANA (64)",108,104,105
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",24,24,24
"NUEVO (90)",27,25,25
"POPULAR CORRENTINO (169)",83,85,84
"CRECER CON TODOS (170)",40,39,39
"UNIÓN CELESTE Y BLANCO (173)",46,46,-
"COMPROMISO CORRENTINO (175)",34,33,-
"KOLINA (192)",24,25,25
"Votos en Blanco",100,150,172
"Votos Nulos",33,32,32
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
