partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",86,76,78,66,69
"JUSTICIALISTA (2)",121,126,448,162,144
"UNIÓN CÍVICA RADICAL (3)",780,748,764,598,597
"MOVIMIENTO SIEMPRE CORRIENTES (4)",95,93,92,89,89
"DEMÓCRATA CRISTIANO (5)",47,49,48,61,57
"DE LA CONCERTACIÓN - FORJA (7)",54,51,49,47,47
"FEDERAL (8)",49,49,-,69,65
"DEMÓCRATA PROGRESISTA (9)",82,80,80,73,81
"RENOVADOR FEDERAL (10)",45,49,51,61,56
"LADRILLEROS UNIDOS (11)",86,85,79,77,78
"COMUNISTA (12)",33,34,-,36,44
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",45,45,44,35,35
"ACCIÓN POR CORRIENTES (14)",34,29,26,23,23
"UNIDOS POR CORRIENTES (15)",61,59,57,55,55
"LABORISTA AUTÓNOMO (17)",69,63,64,62,57
"ELI - ENCUENTRO LIBERAL (18)",146,141,140,134,134
"CAMBIO POPULAR (19)",21,22,23,26,26
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",19,19,-,25,24
"CONVOCATORIA POPULAR (21)",13,12,-,15,-
"FE (23)",15,15,16,20,-
"NUESTRA CAUSA (24)",12,12,12,17,15
"UNION POPULAR (25)",55,48,45,45,45
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",36,36,37,44,42
"ENCUENTRO CORRELIGIONARIO (27)",65,63,58,52,51
"CAMBIO AUSTERIDAD Y PROGRESO (28)",16,16,16,11,11
"DEL TRABAJO Y DEL PUEBLO (29)",18,19,21,25,25
"CIUDADANOS A GOBERNAR (30)",41,38,36,33,37
"CONSERVADOR POPULAR (31)",25,22,21,22,22
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",34,32,32,29,29
"NUEVO PAIS (33)",39,39,-,46,44
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",33,32,32,32,32
"TERCERA POSICIÓN (35)",7,7,9,10,-
"UNIÓN CORRENTINA (37)",69,67,66,63,63
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",34,34,34,30,30
"UNIÓN PARA EL DESARROLLO (42)",28,27,27,23,23
"NORTE GRANDE (43)",44,42,42,37,37
"ACCIÓN POR LA REPÚBLICA (44)",70,70,68,62,62
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",39,41,-,46,44
"VAMOS CORRIENTES (46)",58,58,57,47,53
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",213,200,196,187,185
"PARTIDO AGRARIO Y SOCIAL (49)",48,51,-,64,58
"SOCIALISTA (50)",37,34,33,31,31
"LIBERAL (51)",84,80,78,77,76
"AUTONOMISTA (52)",130,127,127,110,111
"DE LA VICTORIA (54)",33,31,30,38,33
"PROYECTO CORRIENTES (57)",45,46,-,71,64
"PRO - PROPUESTA REPUBLICANA (64)",57,53,51,45,46
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",11,11,13,16,15
"NUEVO (90)",95,90,92,87,89
"POPULAR CORRENTINO (169)",158,155,153,147,146
"CRECER CON TODOS (170)",27,24,22,21,21
"UNIÓN CELESTE Y BLANCO (173)",18,18,-,27,26
"COMPROMISO CORRENTINO (175)",31,31,-,41,40
"KOLINA (192)",39,39,42,52,48
"INTEGRACIÓN CORRENTINA (36)",-,-,-,110,109
"NUEVA CORRIENTES (41)",-,-,-,19,16
"Votos en Blanco",152,264,291,247,337
"Votos Nulos",55,50,52,54,55
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
