partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",36,33,33,29,29
"JUSTICIALISTA (2)",99,100,370,111,102
"UNIÓN CÍVICA RADICAL (3)",387,370,364,304,299
"MOVIMIENTO SIEMPRE CORRIENTES (4)",30,27,24,22,20
"DEMÓCRATA CRISTIANO (5)",25,23,24,42,36
"DE LA CONCERTACIÓN - FORJA (7)",58,52,53,47,47
"FEDERAL (8)",31,32,-,48,46
"DEMÓCRATA PROGRESISTA (9)",26,24,21,18,19
"RENOVADOR FEDERAL (10)",36,36,40,46,44
"LADRILLEROS UNIDOS (11)",45,44,43,38,39
"COMUNISTA (12)",18,18,-,23,28
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",15,16,15,13,13
"ACCIÓN POR CORRIENTES (14)",53,50,50,44,45
"UNIDOS POR CORRIENTES (15)",30,28,27,26,27
"LABORISTA AUTÓNOMO (17)",29,27,26,24,23
"ELI - ENCUENTRO LIBERAL (18)",75,74,74,74,73
"CAMBIO POPULAR (19)",5,5,5,9,7
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",23,24,-,30,30
"CONVOCATORIA POPULAR (21)",13,12,-,14,-
"FE (23)",12,12,12,16,-
"NUESTRA CAUSA (24)",10,10,10,12,10
"UNION POPULAR (25)",33,32,32,29,32
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",15,15,15,16,14
"ENCUENTRO CORRELIGIONARIO (27)",41,41,41,36,36
"CAMBIO AUSTERIDAD Y PROGRESO (28)",11,10,10,10,9
"DEL TRABAJO Y DEL PUEBLO (29)",33,32,33,37,37
"CIUDADANOS A GOBERNAR (30)",35,33,33,34,33
"CONSERVADOR POPULAR (31)",66,64,62,61,59
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",46,43,44,42,41
"NUEVO PAIS (33)",29,32,-,36,32
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",35,32,33,29,29
"TERCERA POSICIÓN (35)",5,6,5,7,-
"UNIÓN CORRENTINA (37)",54,51,49,44,44
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",27,22,22,20,20
"UNIÓN PARA EL DESARROLLO (42)",13,12,12,12,12
"NORTE GRANDE (43)",31,30,30,30,29
"ACCIÓN POR LA REPÚBLICA (44)",28,26,26,26,26
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",25,25,-,34,30
"VAMOS CORRIENTES (46)",93,91,90,80,81
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",171,162,155,159,160
"PARTIDO AGRARIO Y SOCIAL (49)",39,39,-,55,52
"SOCIALISTA (50)",20,19,18,15,16
"LIBERAL (51)",42,40,41,37,36
"AUTONOMISTA (52)",96,94,94,83,82
"DE LA VICTORIA (54)",20,23,23,29,27
"PROYECTO CORRIENTES (57)",44,46,-,58,57
"PRO - PROPUESTA REPUBLICANA (64)",35,34,34,34,29
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",6,6,6,12,9
"NUEVO (90)",63,62,61,52,56
"POPULAR CORRENTINO (169)",132,120,117,118,116
"CRECER CON TODOS (170)",46,45,44,42,41
"UNIÓN CELESTE Y BLANCO (173)",15,15,-,17,17
"COMPROMISO CORRENTINO (175)",31,32,-,39,38
"KOLINA (192)",9,9,11,11,11
"INTEGRACIÓN CORRENTINA (36)",-,-,-,42,42
"NUEVA CORRIENTES (41)",-,-,-,7,5
"Votos en Blanco",65,162,190,139,226
"Votos Nulos",78,65,65,66,67
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
