partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",43,41,37,34,37
"JUSTICIALISTA (2)",97,97,264,110,110
"UNIÓN CÍVICA RADICAL (3)",319,303,302,209,202
"MOVIMIENTO SIEMPRE CORRIENTES (4)",52,51,51,49,49
"DEMÓCRATA CRISTIANO (5)",37,40,41,49,48
"DE LA CONCERTACIÓN - FORJA (7)",51,50,48,47,47
"FEDERAL (8)",24,27,-,43,40
"DEMÓCRATA PROGRESISTA (9)",42,41,41,39,40
"RENOVADOR FEDERAL (10)",38,39,38,47,47
"LADRILLEROS UNIDOS (11)",48,45,45,43,43
"COMUNISTA (12)",23,25,-,26,39
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",28,28,30,17,16
"ACCIÓN POR CORRIENTES (14)",27,25,25,24,24
"UNIDOS POR CORRIENTES (15)",61,60,57,56,57
"LABORISTA AUTÓNOMO (17)",41,39,37,34,34
"ELI - ENCUENTRO LIBERAL (18)",75,72,68,63,64
"CAMBIO POPULAR (19)",23,23,22,29,29
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",18,18,-,19,20
"CONVOCATORIA POPULAR (21)",12,11,-,15,-
"FE (23)",12,12,12,22,-
"NUESTRA CAUSA (24)",11,11,9,14,9
"UNION POPULAR (25)",70,58,57,56,56
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",19,22,25,28,27
"ENCUENTRO CORRELIGIONARIO (27)",40,39,39,37,37
"CAMBIO AUSTERIDAD Y PROGRESO (28)",14,12,12,10,10
"DEL TRABAJO Y DEL PUEBLO (29)",28,27,27,32,32
"CIUDADANOS A GOBERNAR (30)",11,11,11,10,12
"CONSERVADOR POPULAR (31)",39,37,36,34,34
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",31,30,30,30,30
"NUEVO PAIS (33)",38,37,-,44,38
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",13,13,14,13,16
"TERCERA POSICIÓN (35)",1,1,1,1,-
"UNIÓN CORRENTINA (37)",16,16,15,13,14
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",13,12,12,11,11
"UNIÓN PARA EL DESARROLLO (42)",10,10,10,10,10
"NORTE GRANDE (43)",13,12,12,11,11
"ACCIÓN POR LA REPÚBLICA (44)",9,9,9,9,9
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",13,13,-,15,14
"VAMOS CORRIENTES (46)",24,21,20,20,18
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",65,62,59,60,60
"PARTIDO AGRARIO Y SOCIAL (49)",19,23,-,25,25
"SOCIALISTA (50)",3,2,2,3,2
"LIBERAL (51)",27,26,25,22,21
"AUTONOMISTA (52)",25,25,25,25,25
"DE LA VICTORIA (54)",10,10,8,8,9
"PROYECTO CORRIENTES (57)",23,27,-,33,32
"PRO - PROPUESTA REPUBLICANA (64)",28,27,26,22,22
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,4,4,6,5
"NUEVO (90)",25,24,25,23,25
"POPULAR CORRENTINO (169)",54,52,50,50,50
"CRECER CON TODOS (170)",19,19,18,17,17
"UNIÓN CELESTE Y BLANCO (173)",19,19,-,22,19
"COMPROMISO CORRENTINO (175)",1,1,-,1,1
"KOLINA (192)",2,2,2,2,2
"INTEGRACIÓN CORRENTINA (36)",-,-,-,74,75
"NUEVA CORRIENTES (41)",-,-,-,11,11
"Votos en Blanco",53,110,170,106,144
"Votos Nulos",43,31,31,23,23
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
