partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",65,60,60,65,61
"JUSTICIALISTA (2)",28,28,42,-,-
"UNIÓN CÍVICA RADICAL (3)",258,252,252,255,251
"MOVIMIENTO SIEMPRE CORRIENTES (4)",302,301,300,312,308
"DEMÓCRATA CRISTIANO (5)",7,7,7,-,-
"DE LA CONCERTACIÓN - FORJA (7)",17,15,15,14,15
"FEDERAL (8)",0,0,-,-,-
"DEMÓCRATA PROGRESISTA (9)",13,14,14,16,15
"RENOVADOR FEDERAL (10)",5,5,4,-,-
"LADRILLEROS UNIDOS (11)",27,27,27,27,25
"COMUNISTA (12)",5,5,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",1,1,1,-,-
"ACCIÓN POR CORRIENTES (14)",4,4,4,5,5
"UNIDOS POR CORRIENTES (15)",27,27,27,29,30
"LABORISTA AUTÓNOMO (17)",76,75,75,99,104
"ELI - ENCUENTRO LIBERAL (18)",162,162,162,166,167
"CAMBIO POPULAR (19)",2,2,2,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",3,3,-,-,-
"CONVOCATORIA POPULAR (21)",1,1,-,-,-
"FE (23)",0,0,0,-,-
"NUESTRA CAUSA (24)",4,2,2,-,-
"UNION POPULAR (25)",191,190,190,173,175
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",4,4,4,-,-
"ENCUENTRO CORRELIGIONARIO (27)",19,19,19,20,20
"CAMBIO AUSTERIDAD Y PROGRESO (28)",10,8,8,8,8
"DEL TRABAJO Y DEL PUEBLO (29)",6,6,6,-,-
"CIUDADANOS A GOBERNAR (30)",31,31,31,32,30
"CONSERVADOR POPULAR (31)",386,385,386,405,402
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",9,9,9,10,9
"NUEVO PAIS (33)",2,2,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",40,39,38,39,40
"TERCERA POSICIÓN (35)",3,3,3,-,-
"UNIÓN CORRENTINA (37)",18,18,18,17,17
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",67,67,66,70,70
"UNIÓN PARA EL DESARROLLO (42)",13,13,13,14,14
"NORTE GRANDE (43)",0,0,0,-,-
"ACCIÓN POR LA REPÚBLICA (44)",36,35,35,36,37
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,-,-
"VAMOS CORRIENTES (46)",333,328,330,341,331
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",18,18,18,20,20
"PARTIDO AGRARIO Y SOCIAL (49)",24,22,-,-,-
"SOCIALISTA (50)",16,14,14,14,13
"LIBERAL (51)",67,65,65,66,66
"AUTONOMISTA (52)",37,37,37,32,32
"DE LA VICTORIA (54)",3,2,2,-,-
"PROYECTO CORRIENTES (57)",1,2,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",32,31,31,32,31
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",5,5,5,-,-
"NUEVO (90)",82,79,79,77,78
"POPULAR CORRENTINO (169)",471,467,466,476,450
"CRECER CON TODOS (170)",23,22,22,23,24
"UNIÓN CELESTE Y BLANCO (173)",3,3,-,-,-
"COMPROMISO CORRENTINO (175)",2,2,-,-,-
"KOLINA (192)",0,0,0,-,-
"Votos en Blanco",82,133,161,155,200
"Votos Nulos",39,30,30,32,32
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
