partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",89,78,77
"JUSTICIALISTA (2)",507,513,624
"UNIÓN CÍVICA RADICAL (3)",550,536,520
"MOVIMIENTO SIEMPRE CORRIENTES (4)",117,110,110
"DEMÓCRATA CRISTIANO (5)",33,35,36
"DE LA CONCERTACIÓN - FORJA (7)",23,22,22
"FEDERAL (8)",10,10,-
"DEMÓCRATA PROGRESISTA (9)",34,31,31
"RENOVADOR FEDERAL (10)",44,46,47
"LADRILLEROS UNIDOS (11)",18,17,17
"COMUNISTA (12)",14,14,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",18,18,18
"ACCIÓN POR CORRIENTES (14)",18,18,18
"UNIDOS POR CORRIENTES (15)",22,20,26
"LABORISTA AUTÓNOMO (17)",23,20,20
"ELI - ENCUENTRO LIBERAL (18)",145,140,140
"CAMBIO POPULAR (19)",7,6,6
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",7,7,-
"CONVOCATORIA POPULAR (21)",29,29,-
"FE (23)",4,4,4
"NUESTRA CAUSA (24)",17,19,19
"UNION POPULAR (25)",72,70,70
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",14,14,14
"ENCUENTRO CORRELIGIONARIO (27)",29,24,24
"CAMBIO AUSTERIDAD Y PROGRESO (28)",60,56,56
"DEL TRABAJO Y DEL PUEBLO (29)",3,3,3
"CIUDADANOS A GOBERNAR (30)",21,18,18
"CONSERVADOR POPULAR (31)",6,5,6
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",32,32,30
"NUEVO PAIS (33)",7,7,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",23,21,21
"TERCERA POSICIÓN (35)",6,6,6
"UNIÓN CORRENTINA (37)",30,28,28
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",15,15,15
"UNIÓN PARA EL DESARROLLO (42)",22,21,21
"NORTE GRANDE (43)",24,23,23
"ACCIÓN POR LA REPÚBLICA (44)",27,26,26
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",13,13,-
"VAMOS CORRIENTES (46)",602,584,584
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",19,19,19
"PARTIDO AGRARIO Y SOCIAL (49)",14,10,-
"SOCIALISTA (50)",12,11,11
"LIBERAL (51)",170,164,165
"AUTONOMISTA (52)",17,17,19
"DE LA VICTORIA (54)",16,17,19
"PROYECTO CORRIENTES (57)",26,26,-
"PRO - PROPUESTA REPUBLICANA (64)",162,162,160
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",10,11,11
"NUEVO (90)",87,86,86
"POPULAR CORRENTINO (169)",167,162,157
"CRECER CON TODOS (170)",17,19,19
"UNIÓN CELESTE Y BLANCO (173)",10,10,-
"COMPROMISO CORRENTINO (175)",5,5,-
"KOLINA (192)",23,24,23
"Votos en Blanco",81,172,205
"Votos Nulos",46,43,43
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
