partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",134,134,133
"JUSTICIALISTA (2)",90,91,168
"UNIÓN CÍVICA RADICAL (3)",324,316,314
"MOVIMIENTO SIEMPRE CORRIENTES (4)",33,27,27
"DEMÓCRATA CRISTIANO (5)",93,91,93
"DE LA CONCERTACIÓN - FORJA (7)",16,15,15
"FEDERAL (8)",7,7,-
"DEMÓCRATA PROGRESISTA (9)",28,28,28
"RENOVADOR FEDERAL (10)",14,15,15
"LADRILLEROS UNIDOS (11)",6,6,6
"COMUNISTA (12)",10,10,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",23,26,26
"ACCIÓN POR CORRIENTES (14)",11,12,11
"UNIDOS POR CORRIENTES (15)",16,16,16
"LABORISTA AUTÓNOMO (17)",13,12,12
"ELI - ENCUENTRO LIBERAL (18)",79,78,79
"CAMBIO POPULAR (19)",15,16,16
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",17,18,-
"FE (23)",9,9,9
"NUESTRA CAUSA (24)",8,9,9
"UNION POPULAR (25)",40,39,40
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",15,15,15
"ENCUENTRO CORRELIGIONARIO (27)",21,21,21
"CAMBIO AUSTERIDAD Y PROGRESO (28)",17,16,16
"DEL TRABAJO Y DEL PUEBLO (29)",3,3,3
"CIUDADANOS A GOBERNAR (30)",8,8,8
"CONSERVADOR POPULAR (31)",9,9,9
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",16,15,15
"NUEVO PAIS (33)",4,4,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",6,6,6
"TERCERA POSICIÓN (35)",12,12,12
"UNIÓN CORRENTINA (37)",21,21,21
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",15,15,15
"UNIÓN PARA EL DESARROLLO (42)",18,18,18
"NORTE GRANDE (43)",12,12,12
"ACCIÓN POR LA REPÚBLICA (44)",17,14,14
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",578,565,565
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",21,21,21
"PARTIDO AGRARIO Y SOCIAL (49)",0,0,-
"SOCIALISTA (50)",22,22,22
"LIBERAL (51)",42,40,40
"AUTONOMISTA (52)",19,19,18
"DE LA VICTORIA (54)",46,50,50
"PROYECTO CORRIENTES (57)",13,12,-
"PRO - PROPUESTA REPUBLICANA (64)",54,54,55
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",8,7,7
"NUEVO (90)",29,29,29
"POPULAR CORRENTINO (169)",45,44,45
"CRECER CON TODOS (170)",26,25,25
"UNIÓN CELESTE Y BLANCO (173)",17,17,-
"COMPROMISO CORRENTINO (175)",12,12,-
"KOLINA (192)",14,16,13
"Votos en Blanco",67,120,125
"Votos Nulos",301,277,277
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
