partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",122,117,117
"JUSTICIALISTA (2)",93,92,143
"UNIÓN CÍVICA RADICAL (3)",296,288,287
"MOVIMIENTO SIEMPRE CORRIENTES (4)",26,25,25
"DEMÓCRATA CRISTIANO (5)",63,62,62
"DE LA CONCERTACIÓN - FORJA (7)",29,29,29
"FEDERAL (8)",11,12,-
"DEMÓCRATA PROGRESISTA (9)",20,19,19
"RENOVADOR FEDERAL (10)",27,27,27
"LADRILLEROS UNIDOS (11)",25,25,25
"COMUNISTA (12)",8,8,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",24,24,24
"ACCIÓN POR CORRIENTES (14)",10,10,10
"UNIDOS POR CORRIENTES (15)",11,11,11
"LABORISTA AUTÓNOMO (17)",20,18,20
"ELI - ENCUENTRO LIBERAL (18)",72,72,72
"CAMBIO POPULAR (19)",12,12,12
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",2,2,-
"CONVOCATORIA POPULAR (21)",7,7,-
"FE (23)",5,5,5
"NUESTRA CAUSA (24)",10,10,10
"UNION POPULAR (25)",12,10,10
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",6,6,6
"ENCUENTRO CORRELIGIONARIO (27)",23,22,22
"CAMBIO AUSTERIDAD Y PROGRESO (28)",15,15,15
"DEL TRABAJO Y DEL PUEBLO (29)",10,10,10
"CIUDADANOS A GOBERNAR (30)",14,14,14
"CONSERVADOR POPULAR (31)",13,13,13
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",7,6,6
"NUEVO PAIS (33)",1,1,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",15,15,15
"TERCERA POSICIÓN (35)",3,3,3
"UNIÓN CORRENTINA (37)",13,13,13
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",9,9,9
"UNIÓN PARA EL DESARROLLO (42)",13,13,13
"NORTE GRANDE (43)",3,3,3
"ACCIÓN POR LA REPÚBLICA (44)",7,7,6
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-
"VAMOS CORRIENTES (46)",416,410,408
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",12,12,12
"PARTIDO AGRARIO Y SOCIAL (49)",2,2,-
"SOCIALISTA (50)",5,5,5
"LIBERAL (51)",23,21,21
"AUTONOMISTA (52)",8,7,7
"DE LA VICTORIA (54)",24,25,25
"PROYECTO CORRIENTES (57)",6,6,-
"PRO - PROPUESTA REPUBLICANA (64)",39,37,37
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",3,3,3
"NUEVO (90)",17,16,16
"POPULAR CORRENTINO (169)",15,15,15
"CRECER CON TODOS (170)",15,15,15
"UNIÓN CELESTE Y BLANCO (173)",6,6,-
"COMPROMISO CORRENTINO (175)",8,9,-
"KOLINA (192)",6,6,5
"Votos en Blanco",56,121,127
"Votos Nulos",240,207,207
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
