partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",56,55,55,56,53
"JUSTICIALISTA (2)",68,69,98,63,59
"UNIÓN CÍVICA RADICAL (3)",352,338,339,368,352
"MOVIMIENTO SIEMPRE CORRIENTES (4)",29,29,29,37,34
"DEMÓCRATA CRISTIANO (5)",16,17,15,12,13
"DE LA CONCERTACIÓN - FORJA (7)",24,24,24,29,29
"FEDERAL (8)",0,1,-,0,0
"DEMÓCRATA PROGRESISTA (9)",21,21,20,20,22
"RENOVADOR FEDERAL (10)",12,10,11,8,10
"LADRILLEROS UNIDOS (11)",32,31,31,33,30
"COMUNISTA (12)",4,4,-,3,3
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",8,8,8,8,7
"ACCIÓN POR CORRIENTES (14)",27,26,24,32,29
"UNIDOS POR CORRIENTES (15)",23,22,22,26,26
"LABORISTA AUTÓNOMO (17)",40,38,37,40,45
"ELI - ENCUENTRO LIBERAL (18)",143,138,138,155,171
"CAMBIO POPULAR (19)",0,0,0,0,0
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,1,-,1,1
"CONVOCATORIA POPULAR (21)",7,5,-,7,7
"FE (23)",1,1,1,1,1
"NUESTRA CAUSA (24)",1,1,1,1,1
"UNION POPULAR (25)",22,21,21,23,22
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",5,4,4,4,4
"ENCUENTRO CORRELIGIONARIO (27)",64,63,63,65,62
"CAMBIO AUSTERIDAD Y PROGRESO (28)",40,40,40,42,43
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,0,0
"CIUDADANOS A GOBERNAR (30)",14,13,13,13,13
"CONSERVADOR POPULAR (31)",16,15,15,16,14
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",13,13,13,13,11
"NUEVO PAIS (33)",1,1,-,0,1
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",8,8,8,12,11
"TERCERA POSICIÓN (35)",2,2,2,2,2
"UNIÓN CORRENTINA (37)",6,6,6,7,7
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",14,14,14,15,16
"UNIÓN PARA EL DESARROLLO (42)",12,12,12,13,12
"NORTE GRANDE (43)",72,71,70,75,87
"ACCIÓN POR LA REPÚBLICA (44)",38,39,39,39,47
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,0
"VAMOS CORRIENTES (46)",10,8,8,12,9
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",12,12,12,12,11
"PARTIDO AGRARIO Y SOCIAL (49)",3,3,-,-,-
"SOCIALISTA (50)",13,13,13,13,12
"LIBERAL (51)",65,65,65,68,64
"AUTONOMISTA (52)",19,19,21,20,23
"DE LA VICTORIA (54)",5,5,5,3,3
"PROYECTO CORRIENTES (57)",2,2,-,1,1
"PRO - PROPUESTA REPUBLICANA (64)",20,19,19,22,20
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",2,2,2,2,2
"NUEVO (90)",198,198,201,247,224
"POPULAR CORRENTINO (169)",32,32,32,17,18
"CRECER CON TODOS (170)",18,17,17,19,19
"UNIÓN CELESTE Y BLANCO (173)",6,5,-,5,4
"COMPROMISO CORRENTINO (175)",2,1,-,1,1
"KOLINA (192)",2,2,2,2,2
"Votos en Blanco",109,146,139,26,51
"Votos Nulos",14,14,15,15,15
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
