partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",8,8,8,8,8
"JUSTICIALISTA (2)",18,20,34,-,-
"UNIÓN CÍVICA RADICAL (3)",160,156,155,158,156
"MOVIMIENTO SIEMPRE CORRIENTES (4)",7,7,7,7,7
"DEMÓCRATA CRISTIANO (5)",0,0,0,-,-
"DE LA CONCERTACIÓN - FORJA (7)",6,6,6,6,6
"FEDERAL (8)",0,0,-,-,-
"DEMÓCRATA PROGRESISTA (9)",1,1,1,1,1
"RENOVADOR FEDERAL (10)",1,0,0,-,-
"LADRILLEROS UNIDOS (11)",8,8,8,8,8
"COMUNISTA (12)",1,1,-,-,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",0,0,0,-,-
"ACCIÓN POR CORRIENTES (14)",8,8,8,8,8
"UNIDOS POR CORRIENTES (15)",18,18,18,18,18
"LABORISTA AUTÓNOMO (17)",4,4,4,3,3
"ELI - ENCUENTRO LIBERAL (18)",13,13,13,12,12
"CAMBIO POPULAR (19)",0,0,0,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,-,-
"CONVOCATORIA POPULAR (21)",1,1,-,-,-
"FE (23)",0,0,0,-,-
"NUESTRA CAUSA (24)",0,0,0,-,-
"UNION POPULAR (25)",53,53,53,67,64
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0,-,-
"ENCUENTRO CORRELIGIONARIO (27)",6,5,5,7,7
"CAMBIO AUSTERIDAD Y PROGRESO (28)",41,41,41,43,44
"DEL TRABAJO Y DEL PUEBLO (29)",0,0,0,-,-
"CIUDADANOS A GOBERNAR (30)",1,1,1,1,1
"CONSERVADOR POPULAR (31)",4,4,4,4,4
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",12,12,14,42,42
"NUEVO PAIS (33)",0,0,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",5,5,5,5,5
"TERCERA POSICIÓN (35)",1,1,1,-,-
"UNIÓN CORRENTINA (37)",4,4,4,4,4
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",2,3,3,3,4
"UNIÓN PARA EL DESARROLLO (42)",57,57,57,59,59
"NORTE GRANDE (43)",3,3,3,-,-
"ACCIÓN POR LA REPÚBLICA (44)",3,3,3,3,3
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-,-,-
"VAMOS CORRIENTES (46)",10,10,10,10,10
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",3,3,3,4,4
"PARTIDO AGRARIO Y SOCIAL (49)",12,12,-,12,12
"SOCIALISTA (50)",4,4,4,4,4
"LIBERAL (51)",25,25,25,17,17
"AUTONOMISTA (52)",32,32,32,-,-
"DE LA VICTORIA (54)",0,0,0,-,-
"PROYECTO CORRIENTES (57)",0,0,-,0,0
"PRO - PROPUESTA REPUBLICANA (64)",8,8,8,7,7
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,3,3,-,-
"NUEVO (90)",354,353,354,365,360
"POPULAR CORRENTINO (169)",165,164,164,170,169
"CRECER CON TODOS (170)",9,9,9,10,10
"UNIÓN CELESTE Y BLANCO (173)",0,0,-,-,-
"COMPROMISO CORRENTINO (175)",0,0,-,-,-
"KOLINA (192)",2,2,2,-,-
"Votos en Blanco",27,30,29,33,42
"Votos Nulos",2,2,2,2,2
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
