partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",44,39,39,35,27
"JUSTICIALISTA (2)",183,196,470,594,260
"UNIÓN CÍVICA RADICAL (3)",456,426,417,404,369
"MOVIMIENTO SIEMPRE CORRIENTES (4)",68,64,62,69,57
"DEMÓCRATA CRISTIANO (5)",23,25,25,29,34
"DE LA CONCERTACIÓN - FORJA (7)",94,84,83,88,88
"FEDERAL (8)",1,1,-,0,0
"DEMÓCRATA PROGRESISTA (9)",130,121,119,126,111
"RENOVADOR FEDERAL (10)",67,70,80,96,107
"LADRILLEROS UNIDOS (11)",31,29,29,25,21
"COMUNISTA (12)",9,10,-,-,12
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",6,5,3,7,8
"ACCIÓN POR CORRIENTES (14)",41,38,38,35,35
"UNIDOS POR CORRIENTES (15)",38,37,37,34,32
"LABORISTA AUTÓNOMO (17)",15,14,14,15,13
"ELI - ENCUENTRO LIBERAL (18)",47,40,40,39,37
"CAMBIO POPULAR (19)",11,13,12,12,14
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-,0,0
"CONVOCATORIA POPULAR (21)",39,39,-,-,38
"FE (23)",4,4,4,4,4
"NUESTRA CAUSA (24)",4,5,5,5,6
"UNION POPULAR (25)",19,19,19,18,18
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",4,4,4,-,5
"ENCUENTRO CORRELIGIONARIO (27)",133,130,129,135,123
"CAMBIO AUSTERIDAD Y PROGRESO (28)",34,31,29,25,24
"DEL TRABAJO Y DEL PUEBLO (29)",5,5,5,6,7
"CIUDADANOS A GOBERNAR (30)",7,7,7,8,7
"CONSERVADOR POPULAR (31)",13,13,13,13,13
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",75,69,71,71,76
"NUEVO PAIS (33)",13,13,-,-,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",116,106,105,120,140
"TERCERA POSICIÓN (35)",9,9,9,10,10
"UNIÓN CORRENTINA (37)",6,6,6,7,5
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",19,15,15,18,17
"UNIÓN PARA EL DESARROLLO (42)",9,9,9,9,9
"NORTE GRANDE (43)",59,57,57,55,54
"ACCIÓN POR LA REPÚBLICA (44)",52,51,49,52,42
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",14,15,-,-,27
"VAMOS CORRIENTES (46)",8,7,7,7,5
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",121,117,117,122,141
"PARTIDO AGRARIO Y SOCIAL (49)",127,143,-,-,187
"SOCIALISTA (50)",59,54,54,62,39
"LIBERAL (51)",22,17,17,17,12
"AUTONOMISTA (52)",136,126,126,122,150
"DE LA VICTORIA (54)",6,6,6,7,10
"PROYECTO CORRIENTES (57)",12,15,-,-,-
"PRO - PROPUESTA REPUBLICANA (64)",28,25,24,24,22
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",8,8,8,9,10
"NUEVO (90)",13,10,10,9,9
"POPULAR CORRENTINO (169)",38,34,33,28,31
"CRECER CON TODOS (170)",17,15,16,16,12
"UNIÓN CELESTE Y BLANCO (173)",2,2,-,1,1
"COMPROMISO CORRENTINO (175)",22,24,-,-,28
"KOLINA (192)",26,27,30,31,29
"Votos en Blanco",99,209,210,49,126
"Votos Nulos",39,23,18,18,18
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
