partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",27,25,26
"JUSTICIALISTA (2)",262,260,389
"UNIÓN CÍVICA RADICAL (3)",588,547,529
"MOVIMIENTO SIEMPRE CORRIENTES (4)",27,24,22
"DEMÓCRATA CRISTIANO (5)",14,14,14
"DE LA CONCERTACIÓN - FORJA (7)",36,32,30
"FEDERAL (8)",11,11,-
"DEMÓCRATA PROGRESISTA (9)",37,33,29
"RENOVADOR FEDERAL (10)",149,148,157
"LADRILLEROS UNIDOS (11)",22,20,21
"COMUNISTA (12)",12,12,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",25,23,21
"ACCIÓN POR CORRIENTES (14)",19,18,17
"UNIDOS POR CORRIENTES (15)",18,18,19
"LABORISTA AUTÓNOMO (17)",17,15,15
"ELI - ENCUENTRO LIBERAL (18)",125,122,122
"CAMBIO POPULAR (19)",7,7,7
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",8,8,-
"CONVOCATORIA POPULAR (21)",12,13,-
"FE (23)",10,10,9
"NUESTRA CAUSA (24)",13,14,14
"UNION POPULAR (25)",50,47,45
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",7,7,7
"ENCUENTRO CORRELIGIONARIO (27)",43,41,41
"CAMBIO AUSTERIDAD Y PROGRESO (28)",171,155,168
"DEL TRABAJO Y DEL PUEBLO (29)",5,5,5
"CIUDADANOS A GOBERNAR (30)",22,18,18
"CONSERVADOR POPULAR (31)",10,10,10
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",54,54,54
"NUEVO PAIS (33)",7,5,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",19,17,18
"TERCERA POSICIÓN (35)",6,6,6
"UNIÓN CORRENTINA (37)",22,22,21
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",20,20,20
"UNIÓN PARA EL DESARROLLO (42)",13,12,12
"NORTE GRANDE (43)",22,22,22
"ACCIÓN POR LA REPÚBLICA (44)",18,16,16
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",21,20,-
"VAMOS CORRIENTES (46)",30,31,29
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",32,30,31
"PARTIDO AGRARIO Y SOCIAL (49)",10,10,-
"SOCIALISTA (50)",31,31,31
"LIBERAL (51)",181,176,176
"AUTONOMISTA (52)",33,29,30
"DE LA VICTORIA (54)",25,25,25
"PROYECTO CORRIENTES (57)",19,18,-
"PRO - PROPUESTA REPUBLICANA (64)",58,50,50
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",17,18,18
"NUEVO (90)",25,24,24
"POPULAR CORRENTINO (169)",39,37,36
"CRECER CON TODOS (170)",31,30,29
"UNIÓN CELESTE Y BLANCO (173)",15,15,-
"COMPROMISO CORRENTINO (175)",28,27,-
"KOLINA (192)",22,22,16
"Votos en Blanco",62,208,233
"Votos Nulos",52,27,27
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
