partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",6,6,6
"JUSTICIALISTA (2)",177,180,226
"UNIÓN CÍVICA RADICAL (3)",354,339,338
"MOVIMIENTO SIEMPRE CORRIENTES (4)",3,3,3
"DEMÓCRATA CRISTIANO (5)",7,7,7
"DE LA CONCERTACIÓN - FORJA (7)",7,7,7
"FEDERAL (8)",0,0,-
"DEMÓCRATA PROGRESISTA (9)",8,7,7
"RENOVADOR FEDERAL (10)",11,12,12
"LADRILLEROS UNIDOS (11)",4,4,4
"COMUNISTA (12)",0,0,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",3,3,3
"ACCIÓN POR CORRIENTES (14)",5,5,5
"UNIDOS POR CORRIENTES (15)",15,14,14
"LABORISTA AUTÓNOMO (17)",5,5,5
"ELI - ENCUENTRO LIBERAL (18)",404,399,398
"CAMBIO POPULAR (19)",5,5,5
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",9,9,-
"CONVOCATORIA POPULAR (21)",2,1,-
"FE (23)",3,3,3
"NUESTRA CAUSA (24)",4,4,4
"UNION POPULAR (25)",14,13,13
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",0,0,0
"ENCUENTRO CORRELIGIONARIO (27)",17,16,16
"CAMBIO AUSTERIDAD Y PROGRESO (28)",8,7,8
"DEL TRABAJO Y DEL PUEBLO (29)",2,2,2
"CIUDADANOS A GOBERNAR (30)",8,7,7
"CONSERVADOR POPULAR (31)",3,3,3
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",13,12,12
"NUEVO PAIS (33)",0,1,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",6,5,5
"TERCERA POSICIÓN (35)",2,2,3
"UNIÓN CORRENTINA (37)",3,2,3
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",17,17,17
"UNIÓN PARA EL DESARROLLO (42)",9,7,7
"NORTE GRANDE (43)",0,0,0
"ACCIÓN POR LA REPÚBLICA (44)",5,4,4
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",9,8,8
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",11,10,10
"PARTIDO AGRARIO Y SOCIAL (49)",17,17,-
"SOCIALISTA (50)",4,4,4
"LIBERAL (51)",27,27,27
"AUTONOMISTA (52)",44,44,44
"DE LA VICTORIA (54)",2,2,2
"PROYECTO CORRIENTES (57)",10,11,-
"PRO - PROPUESTA REPUBLICANA (64)",4,4,4
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",9,8,8
"NUEVO (90)",9,8,8
"POPULAR CORRENTINO (169)",57,56,56
"CRECER CON TODOS (170)",16,16,16
"UNIÓN CELESTE Y BLANCO (173)",7,8,-
"COMPROMISO CORRENTINO (175)",4,9,-
"KOLINA (192)",9,9,9
"Votos en Blanco",8,38,48
"Votos Nulos",20,15,14
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
