partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",52,52,50,43,46
"JUSTICIALISTA (2)",69,69,270,75,71
"UNIÓN CÍVICA RADICAL (3)",419,405,405,305,305
"MOVIMIENTO SIEMPRE CORRIENTES (4)",27,26,26,26,25
"DEMÓCRATA CRISTIANO (5)",9,8,7,10,10
"DE LA CONCERTACIÓN - FORJA (7)",13,13,12,12,12
"FEDERAL (8)",19,20,-,25,24
"DEMÓCRATA PROGRESISTA (9)",29,23,22,22,22
"RENOVADOR FEDERAL (10)",40,42,45,49,45
"LADRILLEROS UNIDOS (11)",18,16,16,17,16
"COMUNISTA (12)",14,14,-,17,18
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",11,10,10,8,7
"ACCIÓN POR CORRIENTES (14)",14,13,14,14,14
"UNIDOS POR CORRIENTES (15)",27,24,25,24,22
"LABORISTA AUTÓNOMO (17)",17,17,16,14,14
"ELI - ENCUENTRO LIBERAL (18)",58,54,55,53,53
"CAMBIO POPULAR (19)",5,5,5,19,9
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",8,10,-,13,13
"CONVOCATORIA POPULAR (21)",5,5,-,6,-
"FE (23)",6,5,5,8,-
"NUESTRA CAUSA (24)",4,4,4,3,3
"UNION POPULAR (25)",16,14,13,13,15
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",16,19,19,24,16
"ENCUENTRO CORRELIGIONARIO (27)",69,67,66,64,62
"CAMBIO AUSTERIDAD Y PROGRESO (28)",4,4,4,4,4
"DEL TRABAJO Y DEL PUEBLO (29)",9,10,8,11,10
"CIUDADANOS A GOBERNAR (30)",38,37,36,36,36
"CONSERVADOR POPULAR (31)",11,8,8,8,8
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",31,29,29,25,26
"NUEVO PAIS (33)",31,34,-,46,42
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",10,7,7,7,7
"TERCERA POSICIÓN (35)",3,2,2,3,-
"UNIÓN CORRENTINA (37)",15,16,14,13,14
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",29,24,24,23,23
"UNIÓN PARA EL DESARROLLO (42)",24,23,23,22,22
"NORTE GRANDE (43)",8,8,8,9,8
"ACCIÓN POR LA REPÚBLICA (44)",18,18,18,19,19
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",17,16,-,24,23
"VAMOS CORRIENTES (46)",27,25,25,25,25
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",125,115,113,108,110
"PARTIDO AGRARIO Y SOCIAL (49)",25,26,-,33,32
"SOCIALISTA (50)",14,13,13,12,12
"LIBERAL (51)",70,64,65,59,59
"AUTONOMISTA (52)",23,24,26,22,21
"DE LA VICTORIA (54)",21,19,19,22,22
"PROYECTO CORRIENTES (57)",46,45,-,65,59
"PRO - PROPUESTA REPUBLICANA (64)",84,79,76,70,70
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",17,17,16,20,18
"NUEVO (90)",36,34,36,35,37
"POPULAR CORRENTINO (169)",80,75,75,73,70
"CRECER CON TODOS (170)",24,23,23,19,19
"UNIÓN CELESTE Y BLANCO (173)",25,24,-,34,31
"COMPROMISO CORRENTINO (175)",18,17,-,24,21
"KOLINA (192)",12,11,11,11,11
"INTEGRACIÓN CORRENTINA (36)",-,-,-,63,63
"NUEVA CORRIENTES (41)",-,-,-,6,5
"Votos en Blanco",53,136,153,103,165
"Votos Nulos",58,49,50,49,53
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
