partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",73,72,71,72,70
"JUSTICIALISTA (2)",329,341,436,354,341
"UNIÓN CÍVICA RADICAL (3)",654,636,625,764,694
"MOVIMIENTO SIEMPRE CORRIENTES (4)",72,69,68,69,69
"DEMÓCRATA CRISTIANO (5)",24,28,28,29,27
"DE LA CONCERTACIÓN - FORJA (7)",53,49,48,51,49
"FEDERAL (8)",63,64,-,66,65
"DEMÓCRATA PROGRESISTA (9)",62,59,58,-,-
"RENOVADOR FEDERAL (10)",38,41,41,45,42
"LADRILLEROS UNIDOS (11)",53,52,52,53,52
"COMUNISTA (12)",14,14,-,14,13
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",23,23,23,23,23
"ACCIÓN POR CORRIENTES (14)",30,29,29,29,29
"UNIDOS POR CORRIENTES (15)",41,41,41,41,40
"LABORISTA AUTÓNOMO (17)",32,30,29,-,-
"ELI - ENCUENTRO LIBERAL (18)",299,291,296,296,280
"CAMBIO POPULAR (19)",18,18,18,19,18
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",10,9,-,9,9
"CONVOCATORIA POPULAR (21)",12,13,-,13,13
"FE (23)",0,0,0,0,0
"NUESTRA CAUSA (24)",3,3,3,3,3
"UNION POPULAR (25)",71,65,65,102,103
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",32,32,32,33,33
"ENCUENTRO CORRELIGIONARIO (27)",29,29,29,28,28
"CAMBIO AUSTERIDAD Y PROGRESO (28)",23,22,22,24,22
"DEL TRABAJO Y DEL PUEBLO (29)",13,13,13,13,14
"CIUDADANOS A GOBERNAR (30)",38,36,36,34,34
"CONSERVADOR POPULAR (31)",24,23,23,22,23
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",73,70,70,72,88
"NUEVO PAIS (33)",4,4,-,4,4
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",60,60,60,-,-
"TERCERA POSICIÓN (35)",9,10,9,8,8
"UNIÓN CORRENTINA (37)",16,16,16,16,16
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",33,30,30,32,32
"UNIÓN PARA EL DESARROLLO (42)",33,32,32,32,32
"NORTE GRANDE (43)",17,17,17,17,16
"ACCIÓN POR LA REPÚBLICA (44)",16,16,16,16,13
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",5,5,-,5,5
"VAMOS CORRIENTES (46)",16,14,14,14,14
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",57,57,57,58,56
"PARTIDO AGRARIO Y SOCIAL (49)",7,8,-,9,9
"SOCIALISTA (50)",20,16,17,16,14
"LIBERAL (51)",91,88,88,88,84
"AUTONOMISTA (52)",110,105,106,115,173
"DE LA VICTORIA (54)",22,22,22,22,21
"PROYECTO CORRIENTES (57)",12,13,-,12,12
"PRO - PROPUESTA REPUBLICANA (64)",58,56,55,59,55
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",5,5,5,5,5
"NUEVO (90)",44,42,41,40,46
"POPULAR CORRENTINO (169)",72,67,66,67,63
"CRECER CON TODOS (170)",40,38,37,48,47
"UNIÓN CELESTE Y BLANCO (173)",22,22,-,22,23
"COMPROMISO CORRENTINO (175)",10,10,-,9,9
"KOLINA (192)",18,18,18,18,18
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,20,18
"Votos en Blanco",106,194,276,111,169
"Votos Nulos",40,11,10,10,10
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
