partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",210,203,203
"JUSTICIALISTA (2)",132,135,265
"UNIÓN CÍVICA RADICAL (3)",457,447,447
"MOVIMIENTO SIEMPRE CORRIENTES (4)",58,57,57
"DEMÓCRATA CRISTIANO (5)",115,116,116
"DE LA CONCERTACIÓN - FORJA (7)",39,39,39
"FEDERAL (8)",21,21,-
"DEMÓCRATA PROGRESISTA (9)",39,38,38
"RENOVADOR FEDERAL (10)",16,16,16
"LADRILLEROS UNIDOS (11)",22,22,22
"COMUNISTA (12)",14,14,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",40,40,41
"ACCIÓN POR CORRIENTES (14)",16,16,16
"UNIDOS POR CORRIENTES (15)",22,23,23
"LABORISTA AUTÓNOMO (17)",24,24,24
"ELI - ENCUENTRO LIBERAL (18)",95,95,95
"CAMBIO POPULAR (19)",9,9,9
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",3,3,-
"CONVOCATORIA POPULAR (21)",15,15,-
"FE (23)",10,10,10
"NUESTRA CAUSA (24)",13,13,13
"UNION POPULAR (25)",38,37,38
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",13,13,13
"ENCUENTRO CORRELIGIONARIO (27)",48,48,48
"CAMBIO AUSTERIDAD Y PROGRESO (28)",37,37,37
"DEL TRABAJO Y DEL PUEBLO (29)",7,7,7
"CIUDADANOS A GOBERNAR (30)",19,19,19
"CONSERVADOR POPULAR (31)",14,13,13
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",22,23,23
"NUEVO PAIS (33)",20,20,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",19,18,17
"TERCERA POSICIÓN (35)",21,20,20
"UNIÓN CORRENTINA (37)",24,24,25
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",11,11,11
"UNIÓN PARA EL DESARROLLO (42)",34,33,33
"NORTE GRANDE (43)",33,32,32
"ACCIÓN POR LA REPÚBLICA (44)",13,13,13
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",10,10,-
"VAMOS CORRIENTES (46)",633,617,617
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",21,21,21
"PARTIDO AGRARIO Y SOCIAL (49)",9,9,-
"SOCIALISTA (50)",20,19,18
"LIBERAL (51)",40,39,40
"AUTONOMISTA (52)",20,19,19
"DE LA VICTORIA (54)",53,53,52
"PROYECTO CORRIENTES (57)",15,15,-
"PRO - PROPUESTA REPUBLICANA (64)",47,48,48
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",13,13,13
"NUEVO (90)",36,35,35
"POPULAR CORRENTINO (169)",45,44,45
"CRECER CON TODOS (170)",23,24,24
"UNIÓN CELESTE Y BLANCO (173)",12,12,-
"COMPROMISO CORRENTINO (175)",21,21,-
"KOLINA (192)",21,20,18
"Votos en Blanco",86,200,210
"Votos Nulos",463,388,388
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
