partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",12,9,8
"JUSTICIALISTA (2)",521,530,621
"UNIÓN CÍVICA RADICAL (3)",253,249,246
"MOVIMIENTO SIEMPRE CORRIENTES (4)",43,42,42
"DEMÓCRATA CRISTIANO (5)",13,13,13
"DE LA CONCERTACIÓN - FORJA (7)",5,4,4
"FEDERAL (8)",0,0,-
"DEMÓCRATA PROGRESISTA (9)",39,36,31
"RENOVADOR FEDERAL (10)",24,28,28
"LADRILLEROS UNIDOS (11)",5,3,3
"COMUNISTA (12)",6,4,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",8,8,8
"ACCIÓN POR CORRIENTES (14)",6,5,5
"UNIDOS POR CORRIENTES (15)",6,6,9
"LABORISTA AUTÓNOMO (17)",6,6,6
"ELI - ENCUENTRO LIBERAL (18)",102,95,95
"CAMBIO POPULAR (19)",8,8,8
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",4,3,-
"CONVOCATORIA POPULAR (21)",12,12,-
"FE (23)",6,6,6
"NUESTRA CAUSA (24)",8,8,8
"UNION POPULAR (25)",55,52,53
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",6,6,6
"ENCUENTRO CORRELIGIONARIO (27)",12,12,12
"CAMBIO AUSTERIDAD Y PROGRESO (28)",18,18,19
"DEL TRABAJO Y DEL PUEBLO (29)",16,16,15
"CIUDADANOS A GOBERNAR (30)",9,8,9
"CONSERVADOR POPULAR (31)",8,6,6
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",11,9,9
"NUEVO PAIS (33)",7,7,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",13,11,11
"TERCERA POSICIÓN (35)",11,11,11
"UNIÓN CORRENTINA (37)",18,17,17
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",7,7,8
"UNIÓN PARA EL DESARROLLO (42)",10,10,10
"NORTE GRANDE (43)",14,14,14
"ACCIÓN POR LA REPÚBLICA (44)",10,10,10
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",6,6,-
"VAMOS CORRIENTES (46)",581,566,562
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",19,16,16
"PARTIDO AGRARIO Y SOCIAL (49)",22,22,-
"SOCIALISTA (50)",9,8,8
"LIBERAL (51)",146,133,133
"AUTONOMISTA (52)",17,16,16
"DE LA VICTORIA (54)",21,21,21
"PROYECTO CORRIENTES (57)",12,12,-
"PRO - PROPUESTA REPUBLICANA (64)",86,81,81
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",10,10,10
"NUEVO (90)",40,40,40
"POPULAR CORRENTINO (169)",131,127,128
"CRECER CON TODOS (170)",17,15,15
"UNIÓN CELESTE Y BLANCO (173)",15,15,-
"COMPROMISO CORRENTINO (175)",7,7,-
"KOLINA (192)",48,48,48
"Votos en Blanco",46,113,116
"Votos Nulos",19,18,18
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
