partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",86,81,82
"JUSTICIALISTA (2)",578,593,832
"UNIÓN CÍVICA RADICAL (3)",1252,1225,1218
"MOVIMIENTO SIEMPRE CORRIENTES (4)",37,35,34
"DEMÓCRATA CRISTIANO (5)",39,36,33
"DE LA CONCERTACIÓN - FORJA (7)",31,29,29
"FEDERAL (8)",36,35,-
"DEMÓCRATA PROGRESISTA (9)",131,127,120
"RENOVADOR FEDERAL (10)",9,9,9
"LADRILLEROS UNIDOS (11)",41,38,38
"COMUNISTA (12)",18,19,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",25,24,23
"ACCIÓN POR CORRIENTES (14)",281,271,271
"UNIDOS POR CORRIENTES (15)",76,75,70
"LABORISTA AUTÓNOMO (17)",39,37,38
"ELI - ENCUENTRO LIBERAL (18)",724,712,712
"CAMBIO POPULAR (19)",10,13,10
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",45,57,-
"CONVOCATORIA POPULAR (21)",15,15,-
"FE (23)",5,5,4
"NUESTRA CAUSA (24)",11,12,13
"UNION POPULAR (25)",60,52,54
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",22,20,20
"ENCUENTRO CORRELIGIONARIO (27)",248,236,232
"CAMBIO AUSTERIDAD Y PROGRESO (28)",30,30,29
"DEL TRABAJO Y DEL PUEBLO (29)",8,8,8
"CIUDADANOS A GOBERNAR (30)",13,13,13
"CONSERVADOR POPULAR (31)",21,20,20
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",101,100,101
"NUEVO PAIS (33)",9,9,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",25,23,23
"TERCERA POSICIÓN (35)",13,12,12
"UNIÓN CORRENTINA (37)",54,52,53
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",24,22,23
"UNIÓN PARA EL DESARROLLO (42)",17,15,15
"NORTE GRANDE (43)",43,41,41
"ACCIÓN POR LA REPÚBLICA (44)",47,46,45
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",1,1,-
"VAMOS CORRIENTES (46)",29,29,28
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",56,55,55
"PARTIDO AGRARIO Y SOCIAL (49)",13,14,-
"SOCIALISTA (50)",28,26,26
"LIBERAL (51)",305,292,299
"AUTONOMISTA (52)",208,206,212
"DE LA VICTORIA (54)",16,16,16
"PROYECTO CORRIENTES (57)",24,27,-
"PRO - PROPUESTA REPUBLICANA (64)",96,89,90
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",16,18,17
"NUEVO (90)",152,148,147
"POPULAR CORRENTINO (169)",506,496,494
"CRECER CON TODOS (170)",23,21,19
"UNIÓN CELESTE Y BLANCO (173)",37,37,-
"COMPROMISO CORRENTINO (175)",15,15,-
"KOLINA (192)",22,22,14
"Votos en Blanco",121,251,266
"Votos Nulos",70,52,54
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
