partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",91,88,88
"JUSTICIALISTA (2)",87,83,123
"UNIÓN CÍVICA RADICAL (3)",346,336,335
"MOVIMIENTO SIEMPRE CORRIENTES (4)",78,76,76
"DEMÓCRATA CRISTIANO (5)",18,18,18
"DE LA CONCERTACIÓN - FORJA (7)",121,118,118
"FEDERAL (8)",27,27,-
"DEMÓCRATA PROGRESISTA (9)",96,91,91
"RENOVADOR FEDERAL (10)",28,28,35
"LADRILLEROS UNIDOS (11)",29,29,29
"COMUNISTA (12)",10,10,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",8,8,8
"ACCIÓN POR CORRIENTES (14)",34,34,34
"UNIDOS POR CORRIENTES (15)",74,69,69
"LABORISTA AUTÓNOMO (17)",43,41,41
"ELI - ENCUENTRO LIBERAL (18)",71,70,70
"CAMBIO POPULAR (19)",10,9,9
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",15,15,-
"FE (23)",8,9,9
"NUESTRA CAUSA (24)",9,9,9
"UNION POPULAR (25)",79,79,79
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",17,17,17
"ENCUENTRO CORRELIGIONARIO (27)",79,75,68
"CAMBIO AUSTERIDAD Y PROGRESO (28)",17,17,17
"DEL TRABAJO Y DEL PUEBLO (29)",11,9,9
"CIUDADANOS A GOBERNAR (30)",47,46,46
"CONSERVADOR POPULAR (31)",24,22,22
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",18,17,17
"NUEVO PAIS (33)",9,9,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",12,12,12
"TERCERA POSICIÓN (35)",5,5,5
"UNIÓN CORRENTINA (37)",19,17,18
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",14,14,14
"UNIÓN PARA EL DESARROLLO (42)",34,32,32
"NORTE GRANDE (43)",33,31,31
"ACCIÓN POR LA REPÚBLICA (44)",44,42,42
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",108,106,106
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",17,15,15
"PARTIDO AGRARIO Y SOCIAL (49)",12,12,-
"SOCIALISTA (50)",47,46,46
"LIBERAL (51)",47,47,47
"AUTONOMISTA (52)",34,32,32
"DE LA VICTORIA (54)",6,7,7
"PROYECTO CORRIENTES (57)",3,3,-
"PRO - PROPUESTA REPUBLICANA (64)",83,76,76
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",13,14,14
"NUEVO (90)",23,22,22
"POPULAR CORRENTINO (169)",60,58,59
"CRECER CON TODOS (170)",26,25,25
"UNIÓN CELESTE Y BLANCO (173)",15,15,-
"COMPROMISO CORRENTINO (175)",10,10,-
"KOLINA (192)",17,17,17
"Votos en Blanco",32,110,170
"Votos Nulos",54,45,45
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
