partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",130,123,124
"JUSTICIALISTA (2)",133,131,276
"UNIÓN CÍVICA RADICAL (3)",502,475,469
"MOVIMIENTO SIEMPRE CORRIENTES (4)",48,43,42
"DEMÓCRATA CRISTIANO (5)",15,15,15
"DE LA CONCERTACIÓN - FORJA (7)",32,30,30
"FEDERAL (8)",22,22,-
"DEMÓCRATA PROGRESISTA (9)",74,65,65
"RENOVADOR FEDERAL (10)",38,38,38
"LADRILLEROS UNIDOS (11)",41,40,40
"COMUNISTA (12)",11,12,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",16,17,16
"ACCIÓN POR CORRIENTES (14)",37,32,32
"UNIDOS POR CORRIENTES (15)",46,45,45
"LABORISTA AUTÓNOMO (17)",27,26,26
"ELI - ENCUENTRO LIBERAL (18)",87,86,86
"CAMBIO POPULAR (19)",14,13,13
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",0,0,-
"CONVOCATORIA POPULAR (21)",10,11,-
"FE (23)",3,3,3
"NUESTRA CAUSA (24)",10,10,10
"UNION POPULAR (25)",36,35,35
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",20,19,19
"ENCUENTRO CORRELIGIONARIO (27)",43,41,41
"CAMBIO AUSTERIDAD Y PROGRESO (28)",29,29,29
"DEL TRABAJO Y DEL PUEBLO (29)",2,2,1
"CIUDADANOS A GOBERNAR (30)",30,30,29
"CONSERVADOR POPULAR (31)",15,14,14
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",36,34,33
"NUEVO PAIS (33)",7,7,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",26,21,21
"TERCERA POSICIÓN (35)",9,8,8
"UNIÓN CORRENTINA (37)",27,26,26
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",15,15,15
"UNIÓN PARA EL DESARROLLO (42)",13,13,13
"NORTE GRANDE (43)",22,22,22
"ACCIÓN POR LA REPÚBLICA (44)",8,7,7
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",74,71,69
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",76,74,74
"PARTIDO AGRARIO Y SOCIAL (49)",27,28,-
"SOCIALISTA (50)",14,14,14
"LIBERAL (51)",115,107,108
"AUTONOMISTA (52)",43,43,43
"DE LA VICTORIA (54)",56,58,58
"PROYECTO CORRIENTES (57)",14,14,-
"PRO - PROPUESTA REPUBLICANA (64)",62,62,60
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",14,14,13
"NUEVO (90)",44,44,45
"POPULAR CORRENTINO (169)",102,101,101
"CRECER CON TODOS (170)",25,24,24
"UNIÓN CELESTE Y BLANCO (173)",42,44,-
"COMPROMISO CORRENTINO (175)",11,11,-
"KOLINA (192)",15,15,14
"Votos en Blanco",49,134,152
"Votos Nulos",52,51,51
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
