partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",48,45,44,44,43
"JUSTICIALISTA (2)",370,408,632,455,576
"UNIÓN CÍVICA RADICAL (3)",481,449,448,449,449
"MOVIMIENTO SIEMPRE CORRIENTES (4)",17,16,16,15,14
"DEMÓCRATA CRISTIANO (5)",24,23,22,33,37
"DE LA CONCERTACIÓN - FORJA (7)",22,19,19,19,19
"FEDERAL (8)",68,69,-,77,-
"DEMÓCRATA PROGRESISTA (9)",15,14,14,13,13
"RENOVADOR FEDERAL (10)",108,113,113,122,-
"LADRILLEROS UNIDOS (11)",19,18,18,18,17
"COMUNISTA (12)",21,20,-,31,32
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",50,52,54,56,58
"ACCIÓN POR CORRIENTES (14)",20,19,19,19,19
"UNIDOS POR CORRIENTES (15)",45,40,40,40,40
"LABORISTA AUTÓNOMO (17)",27,28,28,27,27
"ELI - ENCUENTRO LIBERAL (18)",39,38,37,39,37
"CAMBIO POPULAR (19)",5,5,5,-,-
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",31,31,-,36,-
"CONVOCATORIA POPULAR (21)",11,12,-,14,21
"FE (23)",7,7,8,8,7
"NUESTRA CAUSA (24)",44,47,47,51,-
"UNION POPULAR (25)",19,17,17,16,17
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",30,32,32,-,26
"ENCUENTRO CORRELIGIONARIO (27)",22,22,22,22,22
"CAMBIO AUSTERIDAD Y PROGRESO (28)",5,5,5,4,5
"DEL TRABAJO Y DEL PUEBLO (29)",18,18,18,19,19
"CIUDADANOS A GOBERNAR (30)",14,14,14,14,14
"CONSERVADOR POPULAR (31)",19,19,18,18,15
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",5,5,5,5,5
"NUEVO PAIS (33)",12,13,-,39,159
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",48,45,46,46,46
"TERCERA POSICIÓN (35)",16,15,15,18,16
"UNIÓN CORRENTINA (37)",5,5,5,5,5
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",64,63,63,63,63
"UNIÓN PARA EL DESARROLLO (42)",3,3,3,3,3
"NORTE GRANDE (43)",16,11,10,10,10
"ACCIÓN POR LA REPÚBLICA (44)",16,14,14,14,14
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-,0,-
"VAMOS CORRIENTES (46)",289,266,263,264,262
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",9,6,6,5,6
"PARTIDO AGRARIO Y SOCIAL (49)",8,8,-,-,-
"SOCIALISTA (50)",5,5,5,5,5
"LIBERAL (51)",41,40,41,40,42
"AUTONOMISTA (52)",32,31,30,30,26
"DE LA VICTORIA (54)",9,10,10,12,-
"PROYECTO CORRIENTES (57)",26,27,-,27,27
"PRO - PROPUESTA REPUBLICANA (64)",37,37,36,35,32
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",9,9,9,10,-
"NUEVO (90)",4,3,3,3,3
"POPULAR CORRENTINO (169)",94,91,96,86,91
"CRECER CON TODOS (170)",41,40,40,39,40
"UNIÓN CELESTE Y BLANCO (173)",42,42,-,45,-
"COMPROMISO CORRENTINO (175)",6,6,-,6,-
"KOLINA (192)",45,45,45,50,45
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,23,22
"Votos en Blanco",127,168,173,66,156
"Votos Nulos",25,24,24,25,28
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
