partido,gobernador,senadores,diputados,intendente,concejales
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",3,2,2,2,2
"JUSTICIALISTA (2)",15,15,25,11,11
"UNIÓN CÍVICA RADICAL (3)",84,81,80,67,63
"MOVIMIENTO SIEMPRE CORRIENTES (4)",6,6,6,7,6
"DEMÓCRATA CRISTIANO (5)",1,0,0,0,0
"DE LA CONCERTACIÓN - FORJA (7)",1,0,0,0,0
"FEDERAL (8)",0,0,-,1,1
"DEMÓCRATA PROGRESISTA (9)",8,8,8,8,8
"RENOVADOR FEDERAL (10)",6,7,6,1,1
"LADRILLEROS UNIDOS (11)",9,9,9,9,9
"COMUNISTA (12)",2,2,-,0,0
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",3,3,2,0,0
"ACCIÓN POR CORRIENTES (14)",16,15,15,14,12
"UNIDOS POR CORRIENTES (15)",20,26,20,20,20
"LABORISTA AUTÓNOMO (17)",10,10,10,9,10
"ELI - ENCUENTRO LIBERAL (18)",157,164,163,174,156
"CAMBIO POPULAR (19)",2,2,2,2,2
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",1,1,-,1,1
"CONVOCATORIA POPULAR (21)",2,2,-,2,2
"FE (23)",1,1,1,1,1
"NUESTRA CAUSA (24)",3,3,3,3,3
"UNION POPULAR (25)",5,5,5,5,5
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",2,2,2,2,2
"ENCUENTRO CORRELIGIONARIO (27)",9,9,9,8,8
"CAMBIO AUSTERIDAD Y PROGRESO (28)",188,186,187,218,217
"DEL TRABAJO Y DEL PUEBLO (29)",2,2,2,0,0
"CIUDADANOS A GOBERNAR (30)",2,2,2,2,2
"CONSERVADOR POPULAR (31)",6,6,6,6,6
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",10,10,10,10,10
"NUEVO PAIS (33)",3,3,-,3,3
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",64,61,61,72,68
"TERCERA POSICIÓN (35)",0,0,0,0,0
"UNIÓN CORRENTINA (37)",6,5,5,6,6
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",21,19,19,28,28
"UNIÓN PARA EL DESARROLLO (42)",1,1,1,1,1
"NORTE GRANDE (43)",13,14,13,18,16
"ACCIÓN POR LA REPÚBLICA (44)",5,5,5,5,4
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",7,7,-,6,8
"VAMOS CORRIENTES (46)",15,15,15,13,21
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",15,16,16,14,14
"PARTIDO AGRARIO Y SOCIAL (49)",2,0,-,-,-
"SOCIALISTA (50)",8,8,8,8,8
"LIBERAL (51)",420,388,418,425,417
"AUTONOMISTA (52)",84,82,82,85,88
"DE LA VICTORIA (54)",5,5,5,4,4
"PROYECTO CORRIENTES (57)",9,6,-,3,4
"PRO - PROPUESTA REPUBLICANA (64)",22,22,22,15,15
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",1,1,1,2,2
"NUEVO (90)",29,28,30,33,49
"POPULAR CORRENTINO (169)",49,45,45,41,43
"CRECER CON TODOS (170)",27,27,27,33,31
"UNIÓN CELESTE Y BLANCO (173)",3,3,-,3,4
"COMPROMISO CORRENTINO (175)",2,2,-,1,1
"KOLINA (192)",4,4,4,4,3
"MOVIMIENTO LIBRES DEL SUR (40)",-,-,-,0,0
"Votos en Blanco",47,90,84,32,41
"Votos Nulos",15,15,15,13,14
"Votos Recurridos",0,0,0,0,0
"Votos de Identidad Impugnada",0,-,-,-,-
