partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",88,79,79
"JUSTICIALISTA (2)",265,271,391
"UNIÓN CÍVICA RADICAL (3)",654,624,626
"MOVIMIENTO SIEMPRE CORRIENTES (4)",69,67,67
"DEMÓCRATA CRISTIANO (5)",90,91,90
"DE LA CONCERTACIÓN - FORJA (7)",25,22,23
"FEDERAL (8)",35,36,-
"DEMÓCRATA PROGRESISTA (9)",48,44,44
"RENOVADOR FEDERAL (10)",52,50,50
"LADRILLEROS UNIDOS (11)",42,40,40
"COMUNISTA (12)",28,28,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",23,23,23
"ACCIÓN POR CORRIENTES (14)",44,42,41
"UNIDOS POR CORRIENTES (15)",152,143,143
"LABORISTA AUTÓNOMO (17)",18,18,18
"ELI - ENCUENTRO LIBERAL (18)",147,141,139
"CAMBIO POPULAR (19)",19,19,19
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",13,13,-
"CONVOCATORIA POPULAR (21)",11,11,-
"FE (23)",9,9,9
"NUESTRA CAUSA (24)",13,12,12
"UNION POPULAR (25)",37,35,34
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",9,10,10
"ENCUENTRO CORRELIGIONARIO (27)",26,22,22
"CAMBIO AUSTERIDAD Y PROGRESO (28)",41,41,41
"DEL TRABAJO Y DEL PUEBLO (29)",11,11,11
"CIUDADANOS A GOBERNAR (30)",41,38,37
"CONSERVADOR POPULAR (31)",18,18,18
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",32,30,31
"NUEVO PAIS (33)",11,10,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",11,11,11
"TERCERA POSICIÓN (35)",6,7,6
"UNIÓN CORRENTINA (37)",14,13,13
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",8,8,8
"UNIÓN PARA EL DESARROLLO (42)",12,12,12
"NORTE GRANDE (43)",8,8,8
"ACCIÓN POR LA REPÚBLICA (44)",13,12,12
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",2,2,-
"VAMOS CORRIENTES (46)",29,27,26
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",8,8,8
"PARTIDO AGRARIO Y SOCIAL (49)",11,11,-
"SOCIALISTA (50)",5,5,5
"LIBERAL (51)",66,64,67
"AUTONOMISTA (52)",46,44,46
"DE LA VICTORIA (54)",22,23,23
"PROYECTO CORRIENTES (57)",7,6,-
"PRO - PROPUESTA REPUBLICANA (64)",29,28,29
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",4,4,4
"NUEVO (90)",14,13,13
"POPULAR CORRENTINO (169)",121,117,118
"CRECER CON TODOS (170)",9,9,9
"UNIÓN CELESTE Y BLANCO (173)",9,9,-
"COMPROMISO CORRENTINO (175)",2,3,-
"KOLINA (192)",3,2,2
"Votos en Blanco",36,127,132
"Votos Nulos",44,38,39
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
