partido,gobernador,senadores,diputados
"MOVIMIENTO INTEGRACIÓN Y DESARROLLO (1)",39,38,38
"JUSTICIALISTA (2)",373,372,502
"UNIÓN CÍVICA RADICAL (3)",455,442,442
"MOVIMIENTO SIEMPRE CORRIENTES (4)",16,16,15
"DEMÓCRATA CRISTIANO (5)",0,0,0
"DE LA CONCERTACIÓN - FORJA (7)",39,38,38
"FEDERAL (8)",11,11,-
"DEMÓCRATA PROGRESISTA (9)",11,10,10
"RENOVADOR FEDERAL (10)",29,29,29
"LADRILLEROS UNIDOS (11)",7,8,8
"COMUNISTA (12)",9,9,-
"NUEVO ENCUENTRO POR LA DEM. Y LA EQUIDAD (13)",10,9,9
"ACCIÓN POR CORRIENTES (14)",14,14,13
"UNIDOS POR CORRIENTES (15)",18,18,18
"LABORISTA AUTÓNOMO (17)",10,9,9
"ELI - ENCUENTRO LIBERAL (18)",129,129,129
"CAMBIO POPULAR (19)",10,10,10
"UNIÓN DE CENTRO DEMOCRÁTICO - U.C.D.- (20)",5,5,-
"CONVOCATORIA POPULAR (21)",18,18,-
"FE (23)",0,0,0
"NUESTRA CAUSA (24)",13,13,13
"UNION POPULAR (25)",27,27,27
"DE LA CULTURA, LA EDUCACIÓN Y EL TRABAJO (26)",5,5,5
"ENCUENTRO CORRELIGIONARIO (27)",11,9,9
"CAMBIO AUSTERIDAD Y PROGRESO (28)",10,7,7
"DEL TRABAJO Y DEL PUEBLO (29)",4,4,4
"CIUDADANOS A GOBERNAR (30)",16,16,16
"CONSERVADOR POPULAR (31)",8,8,8
"CIUDADANOS COMPROMETIDOS (CI.CO) (32)",12,11,11
"NUEVO PAIS (33)",26,25,-
"ACCIÓN POPULAR DE LOS TRABAJADORES (34)",8,7,7
"TERCERA POSICIÓN (35)",0,0,0
"UNIÓN CORRENTINA (37)",9,8,8
"MOV. PARA LA IGUALDAD DE OPORTUNIDADES  - M.I.O.- (39)",14,14,14
"UNIÓN PARA EL DESARROLLO (42)",7,7,7
"NORTE GRANDE (43)",98,95,92
"ACCIÓN POR LA REPÚBLICA (44)",69,68,67
"POLÍTICA ABIERTA PARA LA INTEGRIDAD SOC. (P.A.I.S.) (45)",0,0,-
"VAMOS CORRIENTES (46)",79,79,78
"AFIRMACIÓN PARA UNA REP. IGUALITARIA (A.R.I.) (47)",91,91,91
"PARTIDO AGRARIO Y SOCIAL (49)",37,39,-
"SOCIALISTA (50)",57,53,51
"LIBERAL (51)",431,431,434
"AUTONOMISTA (52)",92,93,94
"DE LA VICTORIA (54)",12,11,11
"PROYECTO CORRIENTES (57)",15,15,-
"PRO - PROPUESTA REPUBLICANA (64)",16,16,16
"INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR (72)",19,20,19
"NUEVO (90)",87,87,88
"POPULAR CORRENTINO (169)",96,93,93
"CRECER CON TODOS (170)",39,35,36
"UNIÓN CELESTE Y BLANCO (173)",19,19,-
"COMPROMISO CORRENTINO (175)",9,9,-
"KOLINA (192)",11,12,12
"Votos en Blanco",156,202,227
"Votos Nulos",31,23,22
"Votos Recurridos",0,0,0
"Votos de Identidad Impugnada",0,-,-
